corp_code,corp_name,fiscal_year,filing_year,rcept_no,rcept_dt,report_nm,MaterialCorrection,MaterialKeywordHits,MaterialKeywords,period_group
00545716,롯데렌탈,2020,2021,20210707000505,20210707,[기재정정]사업보고서 (2020.12),0,0,,2018-2021
00545716,롯데렌탈,2020,2021,20210707000485,20210707,[기재정정]사업보고서 (2019.12),0,0,,2018-2021
00545716,롯데렌탈,2020,2021,20210707000453,20210707,[기재정정]사업보고서 (2018.12),0,0,,2018-2021
00545716,롯데렌탈,2021,2022,20220812000791,20220812,[기재정정]사업보고서 (2021.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2018-2021
00545716,롯데렌탈,2022,2023,20230424000485,20230424,[기재정정]사업보고서 (2022.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00534598,한컴라이프케어,2024,2025,20250814000446,20250814,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00760971,크래프톤,2018,2019,20191107000375,20191107,[기재정정]사업보고서 (2018.12),0,0,,2018-2021
00760971,크래프톤,2018,2019,20190515002199,20190515,[기재정정]사업보고서 (2018.12),0,0,,2018-2021
00760971,크래프톤,2018,2019,20190515001971,20190515,[기재정정]사업보고서 (2017.12),0,0,,2018-2021
00760971,크래프톤,2018,2019,20190515001773,20190515,[기재정정]사업보고서 (2016.12),0,0,,2018-2021
00760971,크래프톤,2018,2019,20190401005084,20190401,[기재정정]사업보고서 (2018.12),0,0,,2018-2021
00760971,크래프톤,2018,2019,20190125000554,20190125,[기재정정]사업보고서 (2017.12),0,0,,2018-2021
00760971,크래프톤,2018,2019,20190125000518,20190125,[기재정정]사업보고서 (2016.12),0,0,,2018-2021
00760971,크래프톤,2019,2020,20200330003881,20200330,[기재정정]사업보고서 (2018.12),0,0,,2018-2021
00760971,크래프톤,2019,2020,20200330003644,20200330,[기재정정]사업보고서 (2017.12),0,0,,2018-2021
00760971,크래프톤,2019,2020,20200330003370,20200330,[기재정정]사업보고서 (2016.12),0,0,,2018-2021
00854997,에스디바이오센서,2020,2021,20210514001634,20210514,[기재정정]사업보고서 (2020.12),0,0,,2018-2021
00854997,에스디바이오센서,2022,2023,20230515000371,20230515,[기재정정]사업보고서 (2022.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00854997,에스디바이오센서,2024,2025,20250822000274,20250822,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00854997,에스디바이오센서,2024,2025,20250822000247,20250822,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00854997,에스디바이오센서,2024,2025,20250822000225,20250822,[기재정정]사업보고서 (2022.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00854997,에스디바이오센서,2024,2025,20250822000031,20250822,[기재정정]사업보고서 (2021.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01568413,F&F,2022,2023,20230831001367,20230831,[기재정정]사업보고서 (2022.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01386916,SK아이이테크놀로지,2022,2023,20230814002466,20230814,[기재정정]사업보고서 (2022.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01319899,SK바이오사이언스,2019,2020,20201127001236,20201127,[기재정정]사업보고서 (2019.12),0,0,,2018-2021
