rcept_no,corp_cls,corp_code,corp_name,se,shrholdr_co,shrholdr_tot_co,shrholdr_rate,hold_stock_co,stock_tot_co,hold_stock_rate,stlm_dt,fiscal_year,endpoint_label
20240321001898,Y,00220613,넥스틸,소액주주,"12,804","12,811",99.95%,"7,535,480","26,002,000",28.98%,2023-12-31,2023,minority_shareholder
20250331002907,Y,00220613,넥스틸,소액주주,"15,765","15,768",99.98%,"9,375,892","26,002,000",36.06%,2024-12-31,2024,minority_shareholder
20190329002018,Y,00158325,NICE평가정보,소액주주,"4,974",-,99.75%,"19,926,504",-,32.81%,2018-12-31,2018,minority_shareholder
20200330001709,Y,00158325,NICE평가정보,소액주주,"6,713",-,99.85%,"21,163,772",-,34.85%,2019-12-31,2019,minority_shareholder
20210317000949,Y,00158325,NICE평가정보,소액주주,"11,305","11,314",99.92%,"23,795,928","60,714,820",39.19%,2020-12-31,2020,minority_shareholder
20220318000520,Y,00158325,NICE평가정보,소액주주,"23,654","23,667",99.94%,"20,287,810","60,714,820",33.41%,2021-12-31,2021,minority_shareholder
20230317000824,Y,00158325,NICE평가정보,소액주주,"22,313","22,323",99.95%,"21,049,763","60,714,820",34.66%,2022-12-31,2022,minority_shareholder
20240319000797,Y,00158325,NICE평가정보,소액주주,"22,144","22,154",99.95%,"22,143,480","60,107,670",36.83%,2023-12-31,2023,minority_shareholder
20250314001653,Y,00158325,NICE평가정보,소액주주,"17,898","17,911",99.92%,"22,280,776","59,506,593",37.44%,2024-12-31,2024,minority_shareholder
20240315000658,Y,01770203,조선내화,소액주주,"9,886","9,891",99.95%,"2,126,305","11,855,168",17.94%,2023-12-31,2023,minority_shareholder
20250311000815,Y,01770203,조선내화,소액주주,"8,295","8,300",99.94%,"2,210,865","11,855,168",18.65%,2024-12-31,2024,minority_shareholder
20190620000077,Y,00447609,비에이치,소액주주,"18,139",-,99.95%,"18,754,810",-,59.8%,2018-12-31,2018,minority_shareholder
20200330000561,Y,00447609,비에이치,소액주주,"18,373",-,99.97%,"20,452,186",-,62.58%,2019-12-31,2019,minority_shareholder
20210331002350,Y,00447609,비에이치,소액주주,"42,198","42,203",99.99%,"21,883,779","33,472,688",65.4%,2020-12-31,2020,minority_shareholder
20220317000686,Y,00447609,비에이치,소액주주,"45,883","45,887",99.99%,"22,872,984","31,223,584",73.25%,2021-12-31,2021,minority_shareholder
20230323000767,Y,00447609,비에이치,소액주주,"26,395","26,408",99.95%,"17,560,028","31,694,322",55.40%,2022-12-31,2022,minority_shareholder
20240321001824,Y,00447609,비에이치,소액주주,"37,155","37,163",99.98%,"20,882,626","31,675,818",65.93%,2023-12-31,2023,minority_shareholder
