rcept_no,corp_cls,corp_code,corp_name,se,shrholdr_co,shrholdr_tot_co,shrholdr_rate,hold_stock_co,stock_tot_co,hold_stock_rate,stlm_dt,fiscal_year,endpoint_label
20250813000868,Y,00124540,대우건설,소액주주,"317,611","317,617",99.99%,"165,302,150","410,885,720",40.23%,2024-12-31,2024,minority_shareholder
20190401001008,Y,00124504,포스코인터내셔널,소액주주,"32,773",-,99.98%,"35,616,100",-,28.87%,2018-12-31,2018,minority_shareholder
20200330002757,Y,00124504,포스코인터내셔널,소액주주,"29,634",-,99.98%,"35,137,010",-,28.48%,2019-12-31,2019,minority_shareholder
20210305000796,Y,00124504,포스코인터내셔널,소액주주,"39,838","39,868",99.92%,"37,612,017","123,375,149",30.49%,2020-12-31,2020,minority_shareholder
20220311001166,Y,00124504,포스코인터내셔널,소액주주,"71,390","71,414",99.97%,"35,853,619","123,375,149",29.06%,2021-12-31,2021,minority_shareholder
20230310000736,Y,00124504,포스코인터내셔널,소액주주,"53,940","53,946",99.99%,"31,395,506","123,375,149",25.45%,2022-12-31,2022,minority_shareholder
20240329001908,Y,00124504,포스코인터내셔널,소액주주,"180,598","180,602",99.99%,"38,442,919","175,922,788",21.85%,2023-12-31,2023,minority_shareholder
20250314001718,Y,00124504,포스코인터내셔널,소액주주,"153,566","153,568",99.99%,"35,608,549","175,922,788",20.24%,2024-12-31,2024,minority_shareholder
20190329004102,Y,00111704,한화오션,소액주주,"75,551",-,99.99%,"29,953,471",-,27.94%,2018-12-31,2018,minority_shareholder
20200330003583,Y,00111704,한화오션,소액주주,"71,709",-,99.98%,"28,313,071",-,26.41%,2019-12-31,2019,minority_shareholder
20210317001184,Y,00111704,한화오션,소액주주,"81,875","81,882",99.99%,"29,309,964","107,290,669",27.31%,2020-12-31,2020,minority_shareholder
20220314001167,Y,00111704,한화오션,소액주주,"112,652","112,661",99.99%,"29,176,265","107,274,462",27.20%,2021-12-31,2021,minority_shareholder
20230313000849,Y,00111704,한화오션,소액주주,"110,861","110,870",99.99%,"29,073,332","107,274,462",27.10%,2022-12-31,2022,minority_shareholder
20240328000773,Y,00111704,한화오션,소액주주,"137,601","137,612",99.99%,"62,293,618","306,358,899",20.33%,2023-12-31,2023,minority_shareholder
20250314001630,Y,00111704,한화오션,소액주주,"216,730","216,738",99.99%,"89,254,060","306,413,394",29.12%,2024-12-31,2024,minority_shareholder
20190401001909,Y,00347734,진양화학,소액주주,"4,294",-,99.90%,"3,433,229",-,28.61%,2018-12-31,2018,minority_shareholder
20200330001232,Y,00347734,진양화학,소액주주,"3,655",-,99.89%,"4,166,424",-,34.72%,2019-12-31,2019,minority_shareholder
20210309000334,Y,00347734,진양화학,소액주주,"4,883","4,885",99.95%,"4,528,903","12,000,000",37.74%,2020-12-31,2020,minority_shareholder
20220304000705,Y,00347734,진양화학,소액주주,"4,231","4,235",99.91%,"4,237,112","12,000,000",35.31%,2021-12-31,2021,minority_shareholder
20230303000708,Y,00347734,진양화학,소액주주,"4,098","4,101",99.92%,"5,681,623","15,800,000",35.95%,2022-12-31,2022,minority_shareholder
20240305000512,Y,00347734,진양화학,소액주주,"4,785","4,787",99.96%,"5,874,552","15,800,000",37.18%,2023-12-31,2023,minority_shareholder
20250304000650,Y,00347734,진양화학,소액주주,"4,848","4,850",99.96%,"6,483,896","21,200,000",30.58%,2024-12-31,2024,minority_shareholder
20240327001230,Y,00159616,두산에너빌리티,소액주주,"77,114",-,99.97 %,"65,895,892",-,50.67%,2018-12-31,2018,minority_shareholder
20240327001231,Y,00159616,두산에너빌리티,소액주주,"91,529",-,99.99%,"116,279,119",-,57.52%,2019-12-31,2019,minority_shareholder
20240516002209,Y,00159616,두산에너빌리티,소액주주,-,-,-,-,-,-,2020-12-31,2020,minority_shareholder
20220322000017,Y,00159616,두산에너빌리티,소액주주,"492,222","492,226",99.99%,"282,787,370","522,220,786",54.15%,2021-12-31,2021,minority_shareholder
20230321001573,Y,00159616,두산에너빌리티,소액주주,"591,497","591,501",99.99%,"405,207,897","638,308,033",63.48%,2022-12-31,2022,minority_shareholder
20240327001226,Y,00159616,두산에너빌리티,소액주주,"510,070","510,075",99.99%,"402,223,627","640,561,146",62.79%,2023-12-31,2023,minority_shareholder
20250320001103,Y,00159616,두산에너빌리티,소액주주,"455,901","455,906",99.99%,"400,133,355","640,561,146",62.46%,2024-12-31,2024,minority_shareholder
20190619000060,Y,00160205,한국내화,소액주주,"6,976",-,99.84%,"7,073,805",-,30.94%,2018-12-31,2018,minority_shareholder
20200330001225,Y,00160205,한국내화,소액주주,"8,545",-,99.88%,"9,313,203",-,40.73%,2019-12-31,2019,minority_shareholder
20210322000191,Y,00160205,한국내화,소액주주,"9,121","9,133",99.87%,"9,190,873","22,863,632",40.20%,2020-12-31,2020,minority_shareholder
20220321001149,Y,00160205,한국내화,소액주주,"9,461","9,473",99.87%,"9,578,309","41,067,062",23.32%,2021-12-31,2021,minority_shareholder
20230320000791,Y,00160205,한국내화,소액주주,"10,546","10,558",99.89%,"9,829,928","41,067,062",23.94%,2022-12-31,2022,minority_shareholder
20240318000649,Y,00160205,한국내화,소액주주,"10,555","10,567",99.89%,"9,489,647","41,067,062",23.11%,2023-12-31,2023,minority_shareholder
20250318000918,Y,00160205,한국내화,소액주주,"8,868","8,880",99.86%,"9,369,574","41,067,062",22.82%,2024-12-31,2024,minority_shareholder
20190329003936,Y,00161976,한세예스24홀딩스,소액주주,"4,210",-,99.74%,"8,763,202",-,21.91%,2018-12-31,2018,minority_shareholder
20200330004378,Y,00161976,한세예스24홀딩스,소액주주,"3,617",-,99.72%,"8,823,655",-,22.05%,2019-12-31,2019,minority_shareholder
20210322000964,Y,00161976,한세예스24홀딩스,소액주주,"6,801","6,811",99.85%,"8,882,292","40,000,000",22.21%,2020-12-31,2020,minority_shareholder
20220321001517,Y,00161976,한세예스24홀딩스,소액주주,"8,137","8,158",99.74%,"7,373,954","40,000,000",18.43%,2021-12-31,2021,minority_shareholder
20230321000858,Y,00161976,한세예스24홀딩스,소액주주,"8,429","8,430",99.76%,"7,373,954","40,000,000",18.43%,2022-12-31,2022,minority_shareholder
20240320001679,Y,00161976,한세예스24홀딩스,소액주주,"8,151","8,172",99.74%,"7,407,042","40,000,000",18.52%,2023-12-31,2023,minority_shareholder
20250814003323,Y,00161976,한세예스24홀딩스,소액주주,"8,369","8,390",99.75%,"7,407,042","40,000,000",18.52%,2024-12-31,2024,minority_shareholder
20190329004002,Y,00111999,대원제약,소액주주,"5,945",-,99.70%,"7,976,529",-,41.76%,2018-12-31,2018,minority_shareholder
20200330004170,Y,00111999,대원제약,소액주주,"5,102",-,99.42%,"7,901,077",-,40.18%,2019-12-31,2019,minority_shareholder
20210416000487,Y,00111999,대원제약,소액주주,"17,564","17,575",99.8%,"9,171,634","19,624,408",46.74%,2020-12-31,2020,minority_shareholder
20220317001141,Y,00111999,대원제약,소액주주,"24,805","24,814",99.96%,"9,477,188","20,600,441",46.00%,2021-12-31,2021,minority_shareholder
20230317000005,Y,00111999,대원제약,소액주주,"18,825","18,921",99.49%,"9,803,091","20,970,526",46.75%,2022-12-31,2022,minority_shareholder
20240314001399,Y,00111999,대원제약,소액주주,"19,086","19,100",99.93%,"8,621,542","22,190,194",38.85%,2023-12-31,2023,minority_shareholder
20250320001537,Y,00111999,대원제약,소액주주,"21,236","21,306",99.67%,"9,627,448","21,296,481",42.93%,2024-12-31,2024,minority_shareholder
20190401004174,Y,00261285,한국가스공사,소액주주,"36,746",-,99.98%,"39,361,855",-,42.64%,2018-12-31,2018,minority_shareholder
20200330003924,Y,00261285,한국가스공사,소액주주,"47,351",-,99.98%,"34,162,892",-,37.01%,2019-12-31,2019,minority_shareholder
20210322001038,Y,00261285,한국가스공사,소액주주,"62,810","62,848",99.94%,"30,286,934","85,826,950",35.29%,2020-12-31,2020,minority_shareholder
20220325000211,Y,00261285,한국가스공사,소액주주,"73,169","73,215",99.94%,"28,208,152","85,826,950",32.87%,2021-12-31,2021,minority_shareholder
20230321001441,Y,00261285,한국가스공사,소액주주,"68,292","68,344",99.92%,"27,497,951","85,826,950",32.04%,2022-12-31,2022,minority_shareholder
20240325000966,Y,00261285,한국가스공사,소액주주,"81,033","81,040",99.99%,"35,075,035","92,313,000",38.00%,2023-12-31,2023,minority_shareholder
20250325000742,Y,00261285,한국가스공사,소액주주,"98,939","98,946",99.99%,"36,633,092","87,275,434",41.97%,2024-12-31,2024,minority_shareholder
20190401003430,Y,00104786,미래아이앤지,소액주주,"6,271",-,99.86%,"65,876,910",-,63.60%,2018-12-31,2018,minority_shareholder
20200330003259,Y,00104786,미래아이앤지,소액주주,"5,644",-,99.81%,"79,050,460",-,61.04%,2019-12-31,2019,minority_shareholder
20210319000715,Y,00104786,미래아이앤지,소액주주,"6,837","6,845",99.88%,"81,760,531","129,484,148",63.14%,2020-12-31,2020,minority_shareholder
20220318000627,Y,00104786,미래아이앤지,소액주주,"13,065","13,072",99.98%,"91,143,759","129,484,148",70.41%,2021-12-31,2021,minority_shareholder
20230321000867,Y,00104786,미래아이앤지,소액주주,"13,562","13,566",99.99%,"101,374,655","139,417,924",72.72%,2022-12-31,2022,minority_shareholder
20240320001445,Y,00104786,미래아이앤지,소액주주,"11,913","11,920",99.96%,"18,880,218","27,883,584",67.73%,2023-12-31,2023,minority_shareholder
20250814002870,Y,00104786,미래아이앤지,소액주주,"9,673","9,681",99.92%,"18,408,386","28,878,608",63.76%,2024-12-31,2024,minority_shareholder
20190329000849,Y,00166519,화천기공,소액주주,"1,553",-,98.5%,"387,521",-,17.61%,2018-12-31,2018,minority_shareholder
20200330001889,Y,00166519,화천기공,소액주주,"2,414",-,99.2%,"590,022",-,26.8%,2019-12-31,2019,minority_shareholder
20210317000394,Y,00166519,화천기공,소액주주,"2,238","2,255",99.3%,"687,102","2,200,000",31.2%,2020-12-31,2020,minority_shareholder
20220316000620,Y,00166519,화천기공,소액주주,"3,466","3,484",99.5%,"808,604","2,200,000",36.76%,2021-12-31,2021,minority_shareholder
20230315000315,Y,00166519,화천기공,소액주주,"3,628","3,644",99.5%,"801,680","2,200,000",36.4%,2022-12-31,2022,minority_shareholder
20240313000479,Y,00166519,화천기공,소액주주,"3,953","3,965",99.7%,"903,835","2,200,000",41.1%,2023-12-31,2023,minority_shareholder
20250312000803,Y,00166519,화천기공,소액주주,"3,607","3,621",99.6%,"835,995","2,200,000",38.0%,2024-12-31,2024,minority_shareholder
20190328000006,Y,00260408,팜스코,소액주주,"6,594",-,99.88%,"8,698,116",-,23.68%,2018-12-31,2018,minority_shareholder
20200331000162,Y,00260408,팜스코,소액주주,"8,823",-,98.20%,"8,857,624",-,24.12%,2019-12-31,2019,minority_shareholder
20210318000680,Y,00260408,팜스코,소액주주,"9,365","9,388",99.76%,"10,367,074","36,727,943",28.23%,2020-12-31,2020,minority_shareholder
20230228005108,Y,00260408,팜스코,소액주주,"12,933","12,965",99.75%,"10,737,054","36,727,943",29.23%,2021-12-31,2021,minority_shareholder
20230321001369,Y,00260408,팜스코,소액주주,"16,911","16,937",99.85%,"10,932,847","36,727,943",29.76%,2022-12-31,2022,minority_shareholder
20240315000769,Y,00260408,팜스코,소액주주,"14,206","14,225",99.87%,"11,579,896","36,727,943",31.53%,2023-12-31,2023,minority_shareholder
20250318001293,Y,00260408,팜스코,소액주주,"12,991","13,000",99.93%,"12,602,023","36,727,943",34.31%,2024-12-31,2024,minority_shareholder
20201230000709,Y,00244455,케이티앤지,소액주주,"72,841",-,99.90%,"73,608,491",-,53.61%,2018-12-31,2018,minority_shareholder
20201230000735,Y,00244455,케이티앤지,소액주주,"89,553",-,99.98%,"80,472,911",-,58.61%,2019-12-31,2019,minority_shareholder
20210311001208,Y,00244455,케이티앤지,소액주주,"157,398","157,412",99.99%,"80,355,581","137,292,497",58.53%,2020-12-31,2020,minority_shareholder
20220321001014,Y,00244455,케이티앤지,소액주주,"258,121","258,131",99.9%,"80,351,154","119,979,923",67.0%,2021-12-31,2021,minority_shareholder
20230320001005,Y,00244455,케이티앤지,소액주주,"175,669","175,680",99.9%,"73,129,143","116,279,923",62.9%,2022-12-31,2022,minority_shareholder
20240320001212,Y,00244455,케이티앤지,소액주주,"169,156","169,168",99.99%,"66,897,034","112,809,923",59.30%,2023-12-31,2023,minority_shareholder
20250318001223,Y,00244455,케이티앤지,소액주주,"127,873","127,888",99.99%,"58,982,259","125,362,497",47.05%,2024-12-31,2024,minority_shareholder
20190328001361,Y,00177199,디씨엠,소액주주,"1,898",-,99.06%,"2,427,933",-,20.75%,2018-12-31,2018,minority_shareholder
20200326000708,Y,00177199,디씨엠,소액주주,"1,840",-,98.66%,"2,401,569",-,20.53%,2019-12-31,2019,minority_shareholder
20210317000453,Y,00177199,디씨엠,소액주주,"2,408","2,435",98.89%,"2,233,683","11,700,000",19.09%,2020-12-31,2020,minority_shareholder
20220316000782,Y,00177199,디씨엠,소액주주,"4,304","4,332",99.35%,"2,811,828","11,700,000",24.03%,2021-12-31,2021,minority_shareholder
20230315000573,Y,00177199,디씨엠,소액주주,"6,028","6,056",99.54%,"3,127,638","11,400,000",27.44%,2022-12-31,2022,minority_shareholder
20240313000780,Y,00177199,디씨엠,소액주주,"5,717","5,745",99.51%,"2,877,755","11,400,000",25.24%,2023-12-31,2023,minority_shareholder
20250718000228,Y,00177199,디씨엠,소액주주,"4,315","4,343",99.36%,"2,506,647","11,400,000",21.99%,2024-12-31,2024,minority_shareholder
20190814000927,Y,00140168,HS애드,소액주주,"3,069",-,99.63%,"2,446,457",-,14.75%,2018-12-31,2018,minority_shareholder
20200330004399,Y,00140168,HS애드,소액주주,-,-,-,-,-,-,2019-12-31,2019,minority_shareholder
20210311001241,Y,00140168,HS애드,소액주주,"3,539","3,548",99.75%,"3,502,264","16,567,409",21.14%,2020-12-31,2020,minority_shareholder
20220317001091,Y,00140168,HS애드,소액주주,"6,031","6,036",99.92%,"5,241,508","16,567,409",31.64%,2021-12-31,2021,minority_shareholder
20230316000872,Y,00140168,HS애드,소액주주,"5,686","5,691",99.93%,"5,446,719","16,567,409",32.88%,2022-12-31,2022,minority_shareholder
20240314001521,Y,00140168,HS애드,소액주주,"5,312","5,316",99.92%,"5,446,534","16,567,409",32.87%,2023-12-31,2023,minority_shareholder
20250311001196,Y,00140168,HS애드,소액주주,-,-,-,-,-,-,2024-12-31,2024,minority_shareholder
20190329003092,Y,00260383,대한유화,소액주주,"14,309",-,99.88%,"3,174,905",-,48.84%,2018-12-31,2018,minority_shareholder
20200327002133,Y,00260383,대한유화,소액주주,"13,370",-,99.93%,"2,906,941",-,44.72%,2019-12-31,2019,minority_shareholder
20210311001060,Y,00260383,대한유화,소액주주,"17,073","17,080",99.96%,"3,243,752","6,500,000",49.90%,2020-12-31,2020,minority_shareholder
20220310001198,Y,00260383,대한유화,소액주주,"42,632","42,639",99.98%,"3,302,942","6,500,000",50.81%,2021-12-31,2021,minority_shareholder
20230309000833,Y,00260383,대한유화,소액주주,"36,466","36,473",99.98%,"3,299,660","6,500,000",50.76%,2022-12-31,2022,minority_shareholder
20240307000479,Y,00260383,대한유화,소액주주,"30,294","30,302",99.97%,"3,186,908","6,500,000",49.03%,2023-12-31,2023,minority_shareholder
20250306000568,Y,00260383,대한유화,소액주주,"29,585","29,594",99.97%,"3,287,321","6,500,000",50.57%,2024-12-31,2024,minority_shareholder
20190401002171,Y,00122551,백산,소액주주,-,-,-,-,-,-,2018-12-31,2018,minority_shareholder
20200330001401,Y,00122551,백산,소액주주,-,-,-,-,-,-,2019-12-31,2019,minority_shareholder
20210420000262,Y,00122551,백산,소액주주,-,-,-,-,-,-,2020-12-31,2020,minority_shareholder
20220712000592,Y,00122551,백산,소액주주,-,-,-,-,-,-,2021-12-31,2021,minority_shareholder
20230321000690,Y,00122551,백산,소액주주,-,-,-,-,-,-,2022-12-31,2022,minority_shareholder
20240319000327,Y,00122551,백산,소액주주,-,-,-,-,-,-,2023-12-31,2023,minority_shareholder
20250319000644,Y,00122551,백산,소액주주,-,-,-,-,-,-,2024-12-31,2024,minority_shareholder
20180928000563,Y,00125576,체시스,소액주주,"6,173",-,99.94%,"13,946,078",-,58.10%,2018-06-30,2018,minority_shareholder
20200103000436,Y,00125576,체시스,소액주주,-,-,-,-,-,-,2019-06-30,2019,minority_shareholder
20200928000395,Y,00125576,체시스,소액주주,-,-,-,-,-,-,2020-06-30,2020,minority_shareholder
20210917000616,Y,00125576,체시스,소액주주,-,-,-,-,-,-,2021-06-30,2021,minority_shareholder
20220920000356,Y,00125576,체시스,소액주주,-,-,-,-,-,-,2022-06-30,2022,minority_shareholder
20230918000095,Y,00125576,체시스,소액주주,-,-,-,-,-,-,2023-06-30,2023,minority_shareholder
20240321001312,Y,00125576,체시스,소액주주,-,-,-,-,-,-,2023-12-31,2023,minority_shareholder
20250321001138,Y,00125576,체시스,소액주주,-,-,-,-,-,-,2024-12-31,2024,minority_shareholder
20190401004365,Y,00146861,자화전자,소액주주,"11,849",-,99.88%,"8,158,201",-,45.58%,2018-12-31,2018,minority_shareholder
20200330003032,Y,00146861,자화전자,소액주주,"11,064",-,99.9%,"9,566,433",-,53.44%,2019-12-31,2019,minority_shareholder
20210317001223,Y,00146861,자화전자,소액주주,"13,445","13,456",99.99%,"8,615,484","17,900,000",48.13%,2020-12-31,2020,minority_shareholder
20220323000621,Y,00146861,자화전자,소액주주,"18,886","18,894",99.99%,"9,722,661","17,900,000",54.31%,2021-12-31,2021,minority_shareholder
20230321001537,Y,00146861,자화전자,소액주주,"21,096","21,103",99.99%,"10,728,396","20,250,944",52.98%,2022-12-31,2022,minority_shareholder
20240320001903,Y,00146861,자화전자,소액주주,"15,604","15,611",99.96%,"12,373,015","22,155,870",55.85%,2023-12-31,2023,minority_shareholder
20250320001727,Y,00146861,자화전자,소액주주,"19,220","19,231",99.94%,"11,345,134","22,155,870",51.21%,2024-12-31,2024,minority_shareholder
20190401004942,Y,00190321,케이티,소액주주,"139,652",-,99.98%,"125,601,832",-,48.10%,2018-12-31,2018,minority_shareholder
20200330004658,Y,00190321,케이티,소액주주,"150,774",-,100.00%,"130,903,127",-,50.13%,2019-12-31,2019,minority_shareholder
20210319001235,Y,00190321,케이티,소액주주,"186,299","186,308",100.0%,"139,007,171","241,842,130",57.5%,2020-12-31,2020,minority_shareholder
20221006000582,Y,00190321,케이티,소액주주,"230,207","230,217",100.0%,"143,023,522","235,808,146",60.7%,2021-12-31,2021,minority_shareholder
20230323001449,Y,00190321,케이티,소액주주,"201,733","201,746",100.0%,"144,497,740","256,042,678",56.4%,2022-12-31,2022,minority_shareholder
20240320002050,Y,00190321,케이티,소액주주,"187,233","187,244",99.9%,"132,164,467","246,413,422",53.6%,2023-12-31,2023,minority_shareholder
20250321001834,Y,00190321,케이티,소액주주,"154,431","154,444",99.99%,"130,330,962","245,832,946",53.02%,2024-12-31,2024,minority_shareholder
20190401001595,Y,00156150,엑시큐어하이트론,소액주주,"2,411",-,99.5%,"1,588,424",-,28.7%,2018-12-31,2018,minority_shareholder
20200330003390,Y,00156150,엑시큐어하이트론,소액주주,"2,471",-,99.64%,"1,785,295",-,32.27%,2019-12-31,2019,minority_shareholder
20210331002650,Y,00156150,엑시큐어하이트론,소액주주,"2,455","2,464",99.63%,"2,974,469","6,281,748",47.35%,2020-12-31,2020,minority_shareholder
20220720000259,Y,00156150,엑시큐어하이트론,소액주주,"5,276","5,277",99.98%,"7,321,344","9,611,224",76.17%,2021-12-31,2021,minority_shareholder
20231030000426,Y,00156150,엑시큐어하이트론,소액주주,"6,317","6,319",99.96%,"7,208,715","9,611,224",75%,2022-12-31,2022,minority_shareholder
20240731000687,Y,00156150,엑시큐어하이트론,소액주주,"5,894","5,896",99.97%,"9,611,224","27,611,224",34.81%,2023-12-31,2023,minority_shareholder
20250321001008,Y,00156150,엑시큐어하이트론,소액주주,"6,170","6,183",99.79%,"18,355,891","68,632,270",26.75%,2024-12-31,2024,minority_shareholder
20190401002642,Y,00148276,제일기획,소액주주,"7,743",-,99.81%,"34,885,681",-,30.33%,2018-12-31,2018,minority_shareholder
20200330002125,Y,00148276,제일기획,소액주주,"9,067",-,99.8%,"36,771,261",-,31.96%,2019-12-31,2019,minority_shareholder
20210409002715,Y,00148276,제일기획,소액주주,"25,174","25,192",99.93%,"35,808,106","115,041,225",31.13%,2020-12-31,2020,minority_shareholder
20220324000651,Y,00148276,제일기획,소액주주,"31,088","31,106",99.94%,"37,103,579","115,041,225",32.25%,2021-12-31,2021,minority_shareholder
20230308000451,Y,00148276,제일기획,소액주주,"22,624","22,640",99.93%,"39,004,330","115,041,225",33.90%,2022-12-31,2022,minority_shareholder
20240313001356,Y,00148276,제일기획,소액주주,"33,885","33,901",99.95%,"38,620,214","115,041,225",33.57%,2023-12-31,2023,minority_shareholder
20250311000974,Y,00148276,제일기획,소액주주,"34,977","34,991",99.96%,"39,778,754","115,041,225",34.58%,2024-12-31,2024,minority_shareholder
20190715000056,Y,00209780,케이씨,소액주주,"6,003",-,99.68%,"4,465,479",-,32.95%,2018-12-31,2018,minority_shareholder
20201222000443,Y,00209780,케이씨,소액주주,"6,855",-,99.58%,"5,214,206",-,38.47%,2019-12-31,2019,minority_shareholder
20210316000993,Y,00209780,케이씨,소액주주,"15,118","15,144",99.83%,"5,385,927","12,437,208",43.30%,2020-12-31,2020,minority_shareholder
20220321000938,Y,00209780,케이씨,소액주주,"19,094","19,116",99.88%,"6,051,027","12,437,208",43.30%,2021-12-31,2021,minority_shareholder
20230321001309,Y,00209780,케이씨,소액주주,"17,813","17,821",99.96%,"6,265,005","13,554,044",46.22%,2022-12-31,2022,minority_shareholder
20240320001938,Y,00209780,케이씨,소액주주,"14,195","14,214",99.87%,"6,626,053","13,554,044",44.57%,2023-12-31,2023,minority_shareholder
20250318001395,Y,00209780,케이씨,소액주주,"10,608","10,630",99.79%,"5,006,236","13,554,044",36.94%,2024-12-31,2024,minority_shareholder
20210506000547,Y,00112022,대원화성,소액주주,"5,054",-,99.86%,"21,775,771",-,52.79%,2018-12-31,2018,minority_shareholder
20210506000552,Y,00112022,대원화성,소액주주,"4,311",-,99.9%,"22,065,820",-,62.6%,2019-12-31,2019,minority_shareholder
20210507000170,Y,00112022,대원화성,소액주주,"6,558","6,565",99.89%,"19,305,623","41,249,152",46.80%,2020-12-31,2020,minority_shareholder
20220816001036,Y,00112022,대원화성,소액주주,"27,288","27,299",99.96%,"7,552,386","41,249,152",18.31%,2021-12-31,2021,minority_shareholder
20230316001139,Y,00112022,대원화성,소액주주,"21,144","21,157",99.94%,"3,876,608","41,249,152",9.40%,2022-12-31,2022,minority_shareholder
20240321001056,Y,00112022,대원화성,소액주주,"19,015","19,027",99.93%,"22,062,820","41,249,152",53.48%,2023-12-31,2023,minority_shareholder
20250320001317,Y,00112022,대원화성,소액주주,"16,048","16,054",99.96%,"21,573,210","41,249,152",52.3%,2024-12-31,2024,minority_shareholder
20190401003381,Y,00165583,E1,소액주주,"5,407",-,99.72%,"1,992,018",-,29.04%,2018-12-31,2018,minority_shareholder
20200330004150,Y,00165583,E1,소액주주,"6,400",-,99.76%,"2,048,932",-,29.86%,2019-12-31,2019,minority_shareholder
20210318000819,Y,00165583,E1,소액주주,"7,331","7,344",99.82%,"2,397,519","6,860,000",34.95%,2020-12-31,2020,minority_shareholder
20220317000782,Y,00165583,E1,소액주주,"14,885","14,898",99.91%,"2,524,876","6,860,000",36.81%,2021-12-31,2021,minority_shareholder
20230316000899,Y,00165583,E1,소액주주,"14,384","14,396",99.92%,"2,505,362","6,860,000",36.52%,2022-12-31,2022,minority_shareholder
20240321001440,Y,00165583,E1,소액주주,"11,115","11,128",99.88%,"2,498,572","6,860,000",36.42%,2023-12-31,2023,minority_shareholder
20250814000491,Y,00165583,E1,소액주주,"10,492","10,505",99.9%,"2,462,718","6,860,000",35.9%,2024-12-31,2024,minority_shareholder
20190401002132,Y,00144164,SK가스,소액주주,"10,883",-,99.93%,"3,359,265",-,37.10%,2018-12-31,2018,minority_shareholder
20200330004176,Y,00144164,SK가스,소액주주,"8,321",-,99.92%,"2,510,718",-,27.46%,2019-12-31,2019,minority_shareholder
20210322001027,Y,00144164,SK가스,소액주주,"12,395","12,402",99.94%,"2,376,612","8,975,046",26.48%,2020-12-31,2020,minority_shareholder
20220316001245,Y,00144164,SK가스,소액주주,"14,456","14,464",99.94%,"1,835,488","8,975,046",20.45%,2021-12-31,2021,minority_shareholder
20230315000990,Y,00144164,SK가스,소액주주,"14,245","14,252",99.95%,"1,756,066","8,975,046",19.57%,2022-12-31,2022,minority_shareholder
20240320001478,Y,00144164,SK가스,소액주주,"9,953","9,960",99.93%,"1,915,374","8,975,046",21.34%,2023-12-31,2023,minority_shareholder
20250312000964,Y,00144164,SK가스,소액주주,"8,496","8,502",99.93%,"1,947,427","8,975,046",21.70%,2024-12-31,2024,minority_shareholder
20210317001023,Y,00176914,다우기술,소액주주,"14,739",-,99.91%,"15,896,576",-,35.43%,2018-12-31,2018,minority_shareholder
20210317001042,Y,00176914,다우기술,소액주주,"15,028",-,99.87%,"16,512,647",-,36.80%,2019-12-31,2019,minority_shareholder
20240226005760,Y,00176914,다우기술,소액주주,"29,371","29,384",99.96%,"13,089,167","43,266,617",30.25%,2020-12-31,2020,minority_shareholder
20220324000698,Y,00176914,다우기술,소액주주,"43,276","43,291",99.97%,"14,199,775","43,266,617",32.82%,2021-12-31,2021,minority_shareholder
20230321001409,Y,00176914,다우기술,소액주주,"39,003","39,018",99.96%,"14,066,051","43,150,849",32.60%,2022-12-31,2022,minority_shareholder
20240320001719,Y,00176914,다우기술,소액주주,"33,666","33,681",99.96%,"14,815,800","43,150,849",34.33%,2023-12-31,2023,minority_shareholder
20250318001202,Y,00176914,다우기술,소액주주,"27,104","27,119",99.94%,"14,491,831","43,150,849",33.58%,2024-12-31,2024,minority_shareholder
20190401003815,Y,00140779,영보화학,소액주주,"4,193",-,99.81%,"5,523,744",-,27.62%,2018-12-31,2018,minority_shareholder
20200330001293,Y,00140779,영보화학,소액주주,"4,094",-,99.80%,"5,587,694",-,27.94%,2019-12-31,2019,minority_shareholder
20210316000221,Y,00140779,영보화학,소액주주,"5,453","5,461",99.85%,"5,985,803","20,000,000",29.93%,2020-12-31,2020,minority_shareholder
20220315000699,Y,00140779,영보화학,소액주주,"8,208","8,216",99.90%,"5,970,905","20,000,000",29.85%,2021-12-31,2021,minority_shareholder
20230315000345,Y,00140779,영보화학,소액주주,"7,585","7,593",99.89%,"6,056,004","20,000,000",30.28%,2022-12-31,2022,minority_shareholder
20240313001248,Y,00140779,영보화학,소액주주,"7,879","7,888",99.89%,"5,913,695","20,000,000",29.57%,2023-12-31,2023,minority_shareholder
20250312000962,Y,00140779,영보화학,소액주주,"6,158","6,165",99.89%,"6,023,748","20,000,000",30.12%,2024-12-31,2024,minority_shareholder
20190401004856,Y,00139889,SKC,소액주주,"18,204",-,99.89%,"10,398,313",-,27.70%,2018-12-31,2018,minority_shareholder
20200330004188,Y,00139889,SKC,소액주주,"18,418",-,99.91%,"11,685,826",-,31.13%,2019-12-31,2019,minority_shareholder
20210423000677,Y,00139889,SKC,소액주주,"63,829","63,838",99.99%,"15,716,519","37,868,298",41.50%,2020-12-31,2020,minority_shareholder
20220816001935,Y,00139889,SKC,소액주주,"99,013","99,016",99.99%,"19,206,340","37,868,298",50.72%,2021-12-31,2021,minority_shareholder
20230320000846,Y,00139889,SKC,소액주주,"98,199","98,211",99.99%,"13,646,813","37,868,298",36.04%,2022-12-31,2022,minority_shareholder
20240409003864,Y,00139889,SKC,소액주주,"105,539","105,551",99.9%,"14,750,725","37,868,298",38.95%,2023-12-31,2023,minority_shareholder
