corp_code,stock_code,corp_name,market,sector,fiscal_year,n_annual_report_filings,has_annual_report_in_dart_universe
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2019,,False
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2020,,False
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2021,,False
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2022,,False
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2023,1.0,True
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2024,1.0,True
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2018,,False
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2019,,False
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2020,,False
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2021,,False
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2022,1.0,True
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2023,2.0,True
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2024,2.0,True
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2018,,False
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2019,,False
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2020,,False
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2021,,False
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2022,,False
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2023,1.0,True
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2024,1.0,True
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2018,,False
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2019,,False
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2020,,False
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2021,,False
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2022,,False
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2023,1.0,True
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2024,1.0,True
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2018,,False
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2019,,False
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2020,,False
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2021,,False
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2022,,False
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2023,1.0,True
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2024,3.0,True
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2018,1.0,True
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2019,1.0,True
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2020,1.0,True
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2021,1.0,True
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2022,1.0,True
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2023,1.0,True
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2024,1.0,True
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2018,,False
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2019,,False
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2020,,False
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2021,,False
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2022,,False
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2023,2.0,True
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2024,1.0,True
00447609,090460,비에이치,KOSPI,전자부품 제조업,2018,2.0,True
00447609,090460,비에이치,KOSPI,전자부품 제조업,2019,1.0,True
00447609,090460,비에이치,KOSPI,전자부품 제조업,2020,3.0,True
00447609,090460,비에이치,KOSPI,전자부품 제조업,2021,1.0,True
00447609,090460,비에이치,KOSPI,전자부품 제조업,2022,1.0,True
00447609,090460,비에이치,KOSPI,전자부품 제조업,2023,1.0,True
