corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,filing_year,query_bgn_de,query_end_de
00201432,비츠로시스,054220,K,분기보고서 (2018.12),20190214000737,비츠로시스,20190214,,2019,20190201,20190228
00867478,아시아종묘,154030,K,분기보고서 (2018.12),20190214000725,아시아종묘,20190214,,2019,20190201,20190228
00155586,HLB이노베이션,024850,K,분기보고서 (2018.12),20190214000696,HLB이노베이션,20190214,,2019,20190201,20190228
00155647,덴소코리아,,E,분기보고서 (2018.12),20190214000634,덴소코리아,20190214,,2019,20190201,20190228
01276594,신한알파리츠,293940,Y,반기보고서 (2018.12),20190214000600,신한알파리츠,20190214,,2019,20190201,20190228
00349060,한스바이오메드,042520,K,분기보고서 (2018.12),20190214000531,한스바이오메드,20190214,,2019,20190201,20190228
00120872,만호제강,001080,Y,반기보고서 (2018.12),20190214000482,만호제강,20190214,,2019,20190201,20190228
00502410,오릭스캐피탈코리아,,E,분기보고서 (2018.12),20190214000341,오릭스캐피탈코리아,20190214,,2019,20190201,20190228
00542074,나노캠텍,091970,K,[기재정정]분기보고서 (2018.09),20190214000268,나노캠텍,20190214,,2019,20190201,20190228
00249098,티에이케이정보시스템,,E,분기보고서 (2018.12),20190214000120,티에이케이정보시스템,20190214,,2019,20190201,20190228
00938688,SBI핀테크솔루션즈,950110,E,분기보고서 (2018.12),20190214000106,SBI핀테크솔루션즈,20190214,정,2019,20190201,20190228
00400060,이씨에스,067010,K,분기보고서 (2018.12),20190214000093,이씨에스,20190214,,2019,20190201,20190228
00118008,동원금속,018500,Y,분기보고서 (2018.12),20190214000068,동원금속,20190214,,2019,20190201,20190228
00110875,대신정보통신,020180,K,분기보고서 (2018.12),20190213000320,대신정보통신,20190213,,2019,20190201,20190228
00939942,포시에스,189690,K,반기보고서 (2018.12),20190213000291,포시에스,20190213,,2019,20190201,20190228
00378363,3S,060310,K,분기보고서 (2018.12),20190212000077,3S,20190212,,2019,20190201,20190228
00241209,모아텍,033200,K,분기보고서 (2018.12),20190212000022,모아텍,20190212,,2019,20190201,20190228
01113930,보아스에셋,,E,[기재정정]분기보고서 (2018.09),20190208000398,보아스에셋,20190208,,2019,20190201,20190228
01113930,보아스에셋,,E,분기보고서 (2018.09),20190208000323,보아스에셋,20190208,정,2019,20190201,20190228
00530121,디에스케이,109740,K,[기재정정]사업보고서 (2017.12),20190201000500,디에스케이,20190201,연,2019,20190201,20190228
00530121,디에스케이,109740,K,[기재정정]사업보고서 (2016.12),20190201000482,디에스케이,20190201,연,2019,20190201,20190228
00135962,신라교역,004970,Y,[기재정정]분기보고서 (2018.09),20190201000251,신라교역,20190201,,2019,20190201,20190228
00135962,신라교역,004970,Y,[기재정정]반기보고서 (2018.06),20190201000248,신라교역,20190201,,2019,20190201,20190228
00135962,신라교역,004970,Y,[기재정정]분기보고서 (2018.03),20190201000242,신라교역,20190201,,2019,20190201,20190228
00121969,에쓰씨엔지니어링,023960,Y,[첨부추가]사업보고서 (2018.12),20190328001591,에쓰씨엔지니어링,20190328,정연,2019,20190301,20190331
00560982,바이오솔루션,086820,K,[첨부추가]사업보고서 (2018.12),20190328000593,바이오솔루션,20190328,정,2019,20190301,20190331
00151447,천지산업,001490,E,[첨부추가]사업보고서 (2018.12),20190329000292,천지산업,20190329,연,2019,20190301,20190331
00155498,풍림산업,001310,E,[첨부추가]사업보고서 (2018.12),20190329003400,풍림산업,20190329,연,2019,20190301,20190331
00153418,티케이지태광,,E,[첨부추가]사업보고서 (2018.12),20190329003459,티케이지태광,20190329,연,2019,20190301,20190331
00340005,마이다스아이티,,E,[첨부추가]사업보고서 (2018.12),20190329001776,마이다스아이티,20190329,연,2019,20190301,20190331
00530796,미성포리테크,094700,E,[첨부추가]사업보고서 (2018.12),20190329000118,미성포리테크,20190329,연,2019,20190301,20190331
00362885,에스텍시스템,,E,[첨부추가]사업보고서 (2018.12),20190329002226,에스텍시스템,20190329,정연,2019,20190301,20190331
00657756,무송지오씨,135160,E,[첨부추가]사업보고서 (2018.12),20190329004321,무송지오씨,20190329,,2019,20190301,20190331
00784643,성남시민프로축구단,,E,사업보고서 (2018.12),20190329004325,성남시민프로축구단,20190329,,2019,20190301,20190331
00642541,제이에스링크,127120,K,[첨부정정]사업보고서 (2018.12),20190329004324,제이에스링크,20190329,정연,2019,20190301,20190331
00685333,강원특별자치도민프로축구단,,E,사업보고서 (2018.12),20190329004319,강원특별자치도민프로축구단,20190329,,2019,20190301,20190331
01316227,효성티앤씨,298020,Y,사업보고서 (2018.12),20190329004317,효성티앤씨,20190329,연,2019,20190301,20190331
00111421,휴니드테크놀러지스,005870,Y,사업보고서 (2018.12),20190329004316,휴니드테크놀러지스,20190329,정,2019,20190301,20190331
00128555,삼천리,004690,Y,사업보고서 (2018.12),20190329004306,삼천리,20190329,연,2019,20190301,20190331
00456218,모두투어,080160,K,사업보고서 (2018.12),20190329004303,모두투어,20190329,정연,2019,20190301,20190331
00611736,엑시콘,092870,K,사업보고서 (2018.12),20190329004302,엑시콘,20190329,연,2019,20190301,20190331
00122339,이매진아시아,036260,E,사업보고서 (2018.12),20190329004298,이매진아시아,20190329,연,2019,20190301,20190331
00255275,HB테크놀러지,078150,K,사업보고서 (2018.12),20190329004291,HB테크놀러지,20190329,정연,2019,20190301,20190331
01011395,레몬,294140,K,사업보고서 (2018.12),20190329004287,레몬,20190329,,2019,20190301,20190331
00363769,NICE인프라,063570,K,사업보고서 (2018.12),20190329004285,NICE인프라,20190329,연,2019,20190301,20190331
00819268,연합자산관리,,E,사업보고서 (2018.12),20190329004283,연합자산관리,20190329,,2019,20190301,20190331
00260356,산은캐피탈,008270,E,사업보고서 (2018.12),20190329004281,산은캐피탈,20190329,연,2019,20190301,20190331
00222532,LG헬로비전,037560,Y,사업보고서 (2018.12),20190329004274,LG헬로비전,20190329,연,2019,20190301,20190331
00105174,에이치디현대오일뱅크,,E,사업보고서 (2018.12),20190329004260,에이치디현대오일뱅크,20190329,연,2019,20190301,20190331
00162461,한화솔루션,009830,Y,사업보고서 (2018.12),20190329004259,한화솔루션,20190329,연,2019,20190301,20190331
00128971,디엘건설,001880,E,사업보고서 (2018.12),20190329004254,디엘건설,20190329,,2019,20190301,20190331
00249982,솔본,035610,K,사업보고서 (2018.12),20190329004252,솔본,20190329,연,2019,20190301,20190331
00423177,텔레칩스,054450,K,사업보고서 (2018.12),20190329004249,텔레칩스,20190329,정연,2019,20190301,20190331
00244455,케이티앤지,033780,Y,사업보고서 (2018.12),20190329004247,케이티앤지,20190329,정연,2019,20190301,20190331
00312048,이지시스템,,E,사업보고서 (2018.12),20190329004240,이지시스템,20190329,,2019,20190301,20190331
00146542,일정실업,008500,Y,사업보고서 (2018.12),20190329004238,일정실업,20190329,연,2019,20190301,20190331
00185046,SM C&C,048550,K,사업보고서 (2018.12),20190329004235,SM C&C,20190329,연,2019,20190301,20190331
00203582,한솔홈데코,025750,Y,사업보고서 (2018.12),20190329004233,한솔홈데코,20190329,정연,2019,20190301,20190331
00130046,다함이텍,009280,E,사업보고서 (2018.12),20190329004225,다함이텍,20190329,정,2019,20190301,20190331
00599887,신텍,099660,E,사업보고서 (2018.12),20190329004213,신텍,20190329,연,2019,20190301,20190331
00378220,버킷스튜디오,066410,K,사업보고서 (2018.12),20190329004207,버킷스튜디오,20190329,정,2019,20190301,20190331
00264945,나이스정보통신,036800,K,사업보고서 (2018.12),20190329004202,나이스정보통신,20190329,연,2019,20190301,20190331
00157991,한국석유공업,004090,Y,사업보고서 (2018.12),20190329004185,한국석유공업,20190329,연,2019,20190301,20190331
00579971,칩스앤미디어,094360,K,사업보고서 (2018.12),20190329004183,칩스앤미디어,20190329,연,2019,20190301,20190331
00793155,핸디소프트,220180,K,사업보고서 (2018.12),20190329004174,핸디소프트,20190329,연,2019,20190301,20190331
00260930,에스엠,041510,K,사업보고서 (2018.12),20190329004163,에스엠,20190329,연,2019,20190301,20190331
00642541,제이에스링크,127120,K,사업보고서 (2018.12),20190329004161,제이에스링크,20190329,정연,2019,20190301,20190331
00161046,한독,002390,Y,사업보고서 (2018.12),20190329004159,한독,20190329,정연,2019,20190301,20190331
00580056,스맥,099440,K,사업보고서 (2018.12),20190329004158,스맥,20190329,연,2019,20190301,20190331
00218575,황금에스티,032560,Y,사업보고서 (2018.12),20190329004157,황금에스티,20190329,연,2019,20190301,20190331
00144012,원풍,008370,K,사업보고서 (2018.12),20190329004156,원풍,20190329,연,2019,20190301,20190331
00309831,알에프텍,061040,K,사업보고서 (2018.12),20190329004151,알에프텍,20190329,연,2019,20190301,20190331
00365590,HLB생명과학,067630,K,사업보고서 (2018.12),20190329004145,HLB생명과학,20190329,정연,2019,20190301,20190331
00148540,CJ,001040,Y,사업보고서 (2018.12),20190329004141,CJ,20190329,연,2019,20190301,20190331
00577380,신진에스엠,138070,K,사업보고서 (2018.12),20190329004132,신진에스엠,20190329,연,2019,20190301,20190331
01049167,롤링스톤,214610,K,사업보고서 (2018.12),20190329004131,롤링스톤,20190329,연,2019,20190301,20190331
00249247,YG PLUS,037270,Y,사업보고서 (2018.12),20190329004127,YG PLUS,20190329,연,2019,20190301,20190331
00453929,메디포스트,078160,K,사업보고서 (2018.12),20190329004124,메디포스트,20190329,정연,2019,20190301,20190331
00971090,어스앤에어로스페이스,263540,E,사업보고서 (2018.12),20190329004122,어스앤에어로스페이스,20190329,,2019,20190301,20190331
00120508,롯데푸드,002270,E,사업보고서 (2018.12),20190329004120,롯데푸드,20190329,,2019,20190301,20190331
00145437,아센디오,012170,Y,사업보고서 (2018.12),20190329004118,아센디오,20190329,연,2019,20190301,20190331
00413417,우리손에프앤지,073560,K,사업보고서 (2018.12),20190329004116,우리손에프앤지,20190329,정연,2019,20190301,20190331
01117246,EMB,278990,N,사업보고서 (2018.12),20190329004112,EMB,20190329,연,2019,20190301,20190331
00477257,지나인제약,078650,E,사업보고서 (2018.12),20190329004110,지나인제약,20190329,연,2019,20190301,20190331
00264918,포앤티,,E,사업보고서 (2018.12),20190329004109,포앤티,20190329,,2019,20190301,20190331
00384717,비엘팜텍,065170,K,사업보고서 (2018.12),20190329004105,비엘팜텍,20190329,연,2019,20190301,20190331
00111704,한화오션,042660,Y,사업보고서 (2018.12),20190329004102,한화오션,20190329,연,2019,20190301,20190331
00147152,유니크,011320,K,사업보고서 (2018.12),20190329004090,유니크,20190329,연,2019,20190301,20190331
00155258,포스코스틸리온,058430,Y,사업보고서 (2018.12),20190329004089,포스코스틸리온,20190329,연,2019,20190301,20190331
00180865,디에이치엑스컴퍼니,031860,K,사업보고서 (2018.12),20190329004085,디에이치엑스컴퍼니,20190329,정연,2019,20190301,20190331
00439965,나노신소재,121600,K,사업보고서 (2018.12),20190329004084,나노신소재,20190329,연,2019,20190301,20190331
00384762,파커스,065690,K,사업보고서 (2018.12),20190329004081,파커스,20190329,연,2019,20190301,20190331
00415594,동국S&C,100130,K,사업보고서 (2018.12),20190329004077,동국S&C,20190329,연,2019,20190301,20190331
00519252,THE E&M,089230,K,사업보고서 (2018.12),20190329004071,THE E&M,20190329,연,2019,20190301,20190331
00362858,예스24,053280,K,사업보고서 (2018.12),20190329004067,예스24,20190329,연,2019,20190301,20190331
01152470,펄어비스,263750,K,사업보고서 (2018.12),20190329004065,펄어비스,20190329,정연,2019,20190301,20190331
00231044,우리기술,032820,K,사업보고서 (2018.12),20190329004058,우리기술,20190329,연,2019,20190301,20190331
00118284,동일금속,109860,K,사업보고서 (2018.12),20190329004049,동일금속,20190329,연,2019,20190301,20190331
00661847,화인베스틸,133820,Y,사업보고서 (2018.12),20190329004047,화인베스틸,20190329,,2019,20190301,20190331
00123541,보해양조,000890,Y,사업보고서 (2018.12),20190329004046,보해양조,20190329,정연,2019,20190301,20190331
