corp_code,stock_code,corp_name,market,sector,fiscal_year
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2023
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2024
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2018
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2019
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2020
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2021
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2022
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2023
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2024
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2018
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2019
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2020
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2021
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2022
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2023
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2024
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2018
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2019
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2020
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2021
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2022
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2023
01784394,465770,STX그린로지스,KOSPI,해상 운송업,2024
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2018
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2019
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2020
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2021
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2022
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2023
00220613,092790,넥스틸,KOSPI,1차 철강 제조업,2024
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2018
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2019
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2020
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2021
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2022
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2023
00158325,030190,NICE평가정보,KOSPI,기타 정보 서비스업,2024
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2018
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2019
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2020
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2021
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2022
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2023
01770203,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업",2024
00447609,090460,비에이치,KOSPI,전자부품 제조업,2018
00447609,090460,비에이치,KOSPI,전자부품 제조업,2019
00447609,090460,비에이치,KOSPI,전자부품 제조업,2020
00447609,090460,비에이치,KOSPI,전자부품 제조업,2021
00447609,090460,비에이치,KOSPI,전자부품 제조업,2022
00447609,090460,비에이치,KOSPI,전자부품 제조업,2023
