corp_code,stock_code,corp_name,market,sector,fiscal_year,CorrectionCount,FirstCorrectionDate,LastCorrectionDate,CorrectionDummy,LogCorrectionCount,MaterialCorrectionCount,MaterialKeywordHits,MaterialCorrectionDummy
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2022,0,,,0,0.0,0,0,0
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2023,0,,,0,0.0,0,0,0
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2024,0,,,0,0.0,0,0,0
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2018,3,20190528,20191114,1,1.3862943611198906,0,0,0
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2019,5,20200814,20200924,1,1.791759469228055,0,0,0
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2020,0,,,0,0.0,0,0,0
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2021,0,,,0,0.0,0,0,0
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2022,0,,,0,0.0,0,0,0
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2023,0,,,0,0.0,0,0,0
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2024,0,,,0,0.0,0,0,0
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2018,0,,,0,0.0,0,0,0
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2019,0,,,0,0.0,0,0,0
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2020,0,,,0,0.0,0,0,0
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2021,0,,,0,0.0,0,0,0
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2022,1,20230828,20230828,1,0.6931471805599453,1,29,1
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2023,1,20240328,20240328,1,0.6931471805599453,1,29,1
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2024,0,,,0,0.0,0,0,0
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2018,0,,,0,0.0,0,0,0
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2019,0,,,0,0.0,0,0,0
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2020,0,,,0,0.0,0,0,0
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2021,1,20220504,20220504,1,0.6931471805599453,0,0,0
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2022,0,,,0,0.0,0,0,0
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2023,2,20240313,20240618,1,1.0986122886681098,2,58,1
00155212,022100,포스코DX,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2024,0,,,0,0.0,0,0,0
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2018,0,,,0,0.0,0,0,0
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2019,0,,,0,0.0,0,0,0
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2020,0,,,0,0.0,0,0,0
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2021,0,,,0,0.0,0,0,0
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2022,0,,,0,0.0,0,0,0
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2023,0,,,0,0.0,0,0,0
00108612,017860,DS단석,KOSPI,기타 화학제품 제조업,2024,0,,,0,0.0,0,0,0
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2018,0,,,0,0.0,0,0,0
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2019,0,,,0,0.0,0,0,0
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2020,0,,,0,0.0,0,0,0
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2021,0,,,0,0.0,0,0,0
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2022,0,,,0,0.0,0,0,0
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2023,0,,,0,0.0,0,0,0
00367710,111380,동인기연,KOSPI,"가죽, 가방 및 유사제품 제조업",2024,0,,,0,0.0,0,0,0
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2018,0,,,0,0.0,0,0,0
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2019,0,,,0,0.0,0,0,0
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2020,0,,,0,0.0,0,0,0
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2021,0,,,0,0.0,0,0,0
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2022,0,,,0,0.0,0,0,0
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2023,1,20240417,20240417,1,0.6931471805599453,1,29,1
01311408,450080,에코프로머티,KOSPI,일차전지 및 이차전지 제조업,2024,1,20250402,20250402,1,0.6931471805599453,1,29,1
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2018,0,,,0,0.0,0,0,0
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2019,0,,,0,0.0,0,0,0
01105153,454910,두산로보틱스,KOSPI,특수 목적용 기계 제조업,2020,0,,,0,0.0,0,0,0
