model,variable,coef,std_err,t_or_z,p_value,nobs,stars,coef_stars,std_err_fmt
M1_controls,C(sector)[T.산업용 농·축산물 및 동·식물 도매업],-0.05852017151419886,0.05190278995791488,-1.1274956810924741,0.25953296551788796,4575.0,,-0.0585,(0.0519)
M1_controls,C(sector)[T.상품 종합 도매업],-0.055956410200345925,0.05944623518071068,-0.9412944323596603,0.346553995160942,4575.0,,-0.0560,(0.0594)
M1_controls,C(sector)[T.상품 중개업],-0.11567884965427166,0.05469823502912825,-2.1148552525080495,0.034442286006784124,4575.0,**,-0.1157**,(0.0547)
M1_controls,C(sector)[T.생활용품 도매업],0.04370514567543415,0.07104482304134646,0.6151770643442768,0.5384377928316715,4575.0,,0.0437,(0.0710)
M1_controls,"C(sector)[T.서적, 잡지 및 기타 인쇄물 출판업]",0.16912225612136406,0.06272204914691282,2.6963764484995028,0.007009839671409816,4575.0,***,0.1691***,(0.0627)
M1_controls,C(sector)[T.석유 정제품 제조업],-0.16835968386173863,0.0684975260529601,-2.457894373171497,0.013975427188254924,4575.0,**,-0.1684**,(0.0685)
M1_controls,C(sector)[T.선박 및 보트 건조업],-0.10826742837783039,0.07520029419141246,-1.4397208088342035,0.1499464036930961,4575.0,,-0.1083,(0.0752)
M1_controls,"C(sector)[T.섬유, 의복, 신발 및 가죽제품 소매업]",-0.01566926649799268,0.06395379720273356,-0.24500916573133413,0.8064493343977042,4575.0,,-0.0157,(0.0640)
M1_controls,C(sector)[T.소프트웨어 개발 및 공급업],-0.015973501178565556,0.09477252455365046,-0.16854569669633526,0.8661539970641914,4575.0,,-0.0160,(0.0948)
M1_controls,C(sector)[T.수산물 가공 및 저장 처리업],-0.036822662615846484,0.07369954530402567,-0.49963215463467897,0.6173341124640903,4575.0,,-0.0368,(0.0737)
M1_controls,C(sector)[T.스포츠 서비스업],0.27811042796063745,0.053939360896371163,5.15598300274536,2.523037834897826e-07,4575.0,***,0.2781***,(0.0539)
M1_controls,"C(sector)[T.시멘트, 석회, 플라스터 및 그 제품 제조업]",-0.09437852452832245,0.07542118710651295,-1.2513529440346405,0.21080573718203666,4575.0,,-0.0944,(0.0754)
M1_controls,C(sector)[T.신발 및 신발 부분품 제조업],-0.244562783416245,0.05100600705915326,-4.794783938539198,1.628502542621103e-06,4575.0,***,-0.2446***,(0.0510)
M1_controls,C(sector)[T.악기 제조업],0.07875733010893327,0.051738402975659716,1.5222219005481206,0.12795348937220447,4575.0,,0.0788,(0.0517)
M1_controls,C(sector)[T.알코올음료 제조업],-0.027313741207164968,0.09892291052433297,-0.2761113786724498,0.7824625213545451,4575.0,,-0.0273,(0.0989)
M1_controls,C(sector)[T.어로 어업],0.1011407770808468,0.10944108012810969,0.9241573361890553,0.35540440483835456,4575.0,,0.1011,(0.1094)
M1_controls,C(sector)[T.여행사 및 기타 여행보조 서비스업],0.00815671118202058,0.054743274916864676,0.14899932812583258,0.8815541631249048,4575.0,,0.0082,(0.0547)
M1_controls,C(sector)[T.연료 소매업],-0.08584815532218604,0.13958920365442673,-0.6150056958181062,0.5385509588925244,4575.0,,-0.0858,(0.1396)
