corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,fiscal_year,filing_year
00372129,전진건설로봇,079900,Y,분기보고서 (2024.09),20241114001484,전진건설로봇,20241114,,2023,2024
00372129,전진건설로봇,079900,Y,분기보고서 (2025.09),20251113000540,전진건설로봇,20251113,,2024,2025
00372129,전진건설로봇,079900,Y,반기보고서 (2025.06),20250813001502,전진건설로봇,20250813,,2024,2025
00372129,전진건설로봇,079900,Y,분기보고서 (2025.03),20250513000600,전진건설로봇,20250513,,2024,2025
00372129,전진건설로봇,079900,Y,사업보고서 (2024.12),20250317000567,전진건설로봇,20250317,연,2024,2025
00366438,산일전기,062040,Y,분기보고서 (2024.09),20241114002566,산일전기,20241114,,2023,2024
00366438,산일전기,062040,Y,분기보고서 (2025.09),20251121000329,산일전기,20251121,,2024,2025
00366438,산일전기,062040,Y,반기보고서 (2025.06),20250825000438,산일전기,20250825,,2024,2025
00366438,산일전기,062040,Y,분기보고서 (2025.03),20250515000788,산일전기,20250515,,2024,2025
00366438,산일전기,062040,Y,[기재정정]사업보고서 (2024.12),20250328001583,산일전기,20250328,,2024,2025
00366438,산일전기,062040,Y,사업보고서 (2024.12),20250320001579,산일전기,20250320,정,2024,2025
01384787,시프트업,462870,Y,분기보고서 (2024.09),20241113000775,시프트업,20241113,,2023,2024
01384787,시프트업,462870,Y,분기보고서 (2025.09),20251113001036,시프트업,20251113,,2024,2025
01384787,시프트업,462870,Y,반기보고서 (2025.06),20250814004388,시프트업,20250814,,2024,2025
01384787,시프트업,462870,Y,분기보고서 (2025.03),20250514001139,시프트업,20250514,,2024,2025
01384787,시프트업,462870,Y,사업보고서 (2024.12),20250319000952,시프트업,20250319,,2024,2025
00171265,파라다이스,034230,Y,분기보고서 (2019.09),20191114001427,파라다이스,20191114,,2018,2019
00171265,파라다이스,034230,Y,반기보고서 (2019.06),20190814002146,파라다이스,20190814,,2018,2019
00171265,파라다이스,034230,Y,분기보고서 (2019.03),20190515002661,파라다이스,20190515,,2018,2019
00171265,파라다이스,034230,Y,사업보고서 (2018.12),20190329004010,파라다이스,20190329,연,2018,2019
00171265,파라다이스,034230,Y,분기보고서 (2020.09),20201116002117,파라다이스,20201116,,2019,2020
00171265,파라다이스,034230,Y,반기보고서 (2020.06),20200814002142,파라다이스,20200814,,2019,2020
00171265,파라다이스,034230,Y,분기보고서 (2020.03),20200515001521,파라다이스,20200515,,2019,2020
00171265,파라다이스,034230,Y,사업보고서 (2019.12),20200330001372,파라다이스,20200330,연,2019,2020
00171265,파라다이스,034230,Y,분기보고서 (2021.09),20211115002418,파라다이스,20211115,,2020,2021
00171265,파라다이스,034230,Y,반기보고서 (2021.06),20210817002200,파라다이스,20210817,,2020,2021
00171265,파라다이스,034230,Y,[기재정정]분기보고서 (2021.03),20210531002357,파라다이스,20210531,,2020,2021
00171265,파라다이스,034230,Y,분기보고서 (2021.03),20210517002081,파라다이스,20210517,정,2020,2021
