corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,fiscal_year,filing_year,is_correction
00150633,지누스,013890,Y,[기재정정]사업보고서 (2017.12),20190821000526,지누스,20190821,연,2018,2019,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2018.12),20190814002813,지누스,20190814,연,2018,2019,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2016.12),20190814002502,지누스,20190814,연,2018,2019,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2015.12),20190814002263,지누스,20190814,연,2018,2019,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2023.12),20240425000282,지누스,20240425,정연,2023,2024,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2023.12),20240313001671,지누스,20240313,정연,2023,2024,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2024.12),20250909000072,지누스,20250909,정연,2024,2025,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2024.12),20250325000522,지누스,20250325,정연,2024,2025,1
01412822,솔루스첨단소재,336370,Y,[기재정정]사업보고서 (2021.12),20220812000796,솔루스첨단소재,20220812,연,2021,2022,1
01412822,솔루스첨단소재,336370,Y,[기재정정]사업보고서 (2024.12),20251121000498,솔루스첨단소재,20251121,연,2024,2025,1
00203315,콘텐트리중앙,036420,Y,[기재정정]사업보고서 (2018.12),20190716000323,콘텐트리중앙,20190717,연,2018,2019,1
00155276,포스코퓨처엠,003670,Y,[기재정정]사업보고서 (2020.12),20210512000747,포스코퓨처엠,20210512,연,2020,2021,1
00155276,포스코퓨처엠,003670,Y,[기재정정]사업보고서 (2022.12),20230317000751,포스코퓨처엠,20230317,연,2022,2023,1
00155276,포스코퓨처엠,003670,Y,[기재정정]사업보고서 (2023.12),20240326000383,포스코퓨처엠,20240326,연,2023,2024,1
00362441,현대오토에버,307950,Y,[기재정정]사업보고서 (2018.12),20190402000001,현대오토에버,20190402,연,2018,2019,1
00362441,현대오토에버,307950,Y,[기재정정]사업보고서 (2023.12),20240329000426,현대오토에버,20240329,연,2023,2024,1
00415646,드림텍,192650,Y,[기재정정]사업보고서 (2021.12),20220812000858,드림텍,20220812,연,2021,2022,1
00415646,드림텍,192650,Y,[기재정정]사업보고서 (2024.12),20250328002249,드림텍,20250328,연,2024,2025,1
00415646,드림텍,192650,Y,[기재정정]사업보고서 (2024.12),20250320001606,드림텍,20250320,정연,2024,2025,1
00415646,드림텍,192650,Y,[첨부정정]사업보고서 (2024.12),20250320000681,드림텍,20250320,정연,2024,2025,1
00651901,에어부산,298690,Y,[기재정정]사업보고서 (2018.12),20190402000257,에어부산,20190402,정,2018,2019,1
00651901,에어부산,298690,Y,[기재정정]사업보고서 (2022.12),20230831001169,에어부산,20230831,,2022,2023,1
00651901,에어부산,298690,Y,[기재정정]사업보고서 (2019.12),20240731000599,에어부산,20240731,,2023,2024,1
00651901,에어부산,298690,Y,[기재정정]사업보고서 (2018.12),20240731000521,에어부산,20240731,,2023,2024,1
