fiscal_year,corp_code,corp_name,stock_code,market,sector,n_annual_report_filings,n_annual_corrections,any_correction
2018,00126292,삼성카드,029780,KOSPI,기타 금융업,1,0,0
2018,00126308,삼성E&A,028050,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",1,0,0
2018,00126362,삼성SDI,006400,KOSPI,일차전지 및 이차전지 제조업,1,0,0
2018,00126371,삼성전기,009150,KOSPI,전자부품 제조업,1,0,0
2018,00126380,삼성전자,005930,KOSPI,통신 및 방송 장비 제조업,1,0,0
2018,00126414,삼성제약,001360,KOSPI,의약품 제조업,1,0,0
2018,00126478,삼성중공업,010140,KOSPI,선박 및 보트 건조업,1,0,0
2018,00126487,F&F 홀딩스,007700,KOSPI,기타 금융업,1,0,0
2018,00126566,한화에어로스페이스,012450,KOSPI,"항공기,우주선 및 부품 제조업",1,0,0
2018,00126779,삼아알미늄,006110,KOSPI,1차 비철금속 제조업,1,0,0
2018,00126937,삼양홀딩스,000070,KOSPI,기타 금융업,2,1,1
2018,00126955,삼양식품,003230,KOSPI,기타 식품 제조업,1,0,0
2018,00127042,SYTS,002170,KOSPI,"가죽, 가방 및 유사제품 제조업",1,0,0
2018,00127158,씨아이테크,004920,KOSPI,영상 및 음향기기 제조업,1,0,0
2018,00127167,삼영무역,002810,KOSPI,기타 전문 도매업,1,0,0
2018,00127200,삼영전자공업,005680,KOSPI,전자부품 제조업,2,1,1
2018,00127255,삼영,003720,KOSPI,플라스틱제품 제조업,1,0,0
2018,00127802,삼익THK,004380,KOSPI,일반 목적용 기계 제조업,2,1,1
2018,00127857,삼익악기,002450,KOSPI,악기 제조업,2,1,1
2018,00128032,삼일제약,000520,KOSPI,의약품 제조업,2,1,1
2018,00128227,삼정펄프,009770,KOSPI,"펄프, 종이 및 판지 제조업",1,0,0
2018,00128412,삼진제약,005500,KOSPI,의약품 제조업,1,0,0
2018,00128555,삼천리,004690,KOSPI,연료용 가스 제조 및 배관공급업,1,0,0
2018,00128980,삼호개발,010960,KOSPI,기반조성 및 시설물 축조관련 전문공사업,1,0,0
2018,00129013,CJ씨푸드,011150,KOSPI,기타 식품 제조업,1,0,0
2018,00129235,삼화왕관,004450,KOSPI,기타 금속 가공제품 제조업,2,1,1
2018,00129271,삼화전기,009470,KOSPI,전자부품 제조업,1,0,0
2018,00129280,삼화전자공업,011230,KOSPI,영상 및 음향기기 제조업,1,0,0
2018,00129350,삼화콘덴서공업,001820,KOSPI,전자부품 제조업,1,0,0
2018,00129387,SP삼화,000390,KOSPI,기타 화학제품 제조업,1,0,0
2018,00129420,까뮤이앤씨,013700,KOSPI,건물 건설업,1,0,0
2018,00129509,한익스프레스,014130,KOSPI,도로 화물 운송업,1,0,0
2018,00129554,갤럭시아에스엠,011420,KOSPI,스포츠 서비스업,1,0,0
2018,00129642,상신브레이크,041650,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00129679,녹십자,006280,KOSPI,의약품 제조업,1,0,0
2018,00129989,코스모신소재,005070,KOSPI,기타 화학제품 제조업,1,0,0
2018,00130091,샘표,007540,KOSPI,기타 금융업,1,0,0
2018,00130684,서울도시가스,017390,KOSPI,연료용 가스 제조 및 배관공급업,1,0,0
2018,00130772,SBS,034120,KOSPI,텔레비전 방송업,1,0,0
2018,00130879,서울식품공업,004410,KOSPI,기타 식품 제조업,1,0,0
2018,00131054,유진증권,001200,KOSPI,의약품 제조업,1,0,0
2018,00131197,서원,021050,KOSPI,금속 주조업,1,0,0
2018,00131692,서흥,008490,KOSPI,기타 화학제품 제조업,1,0,0
2018,00131780,SK네트웍스,001740,KOSPI,기타 전문 도매업,1,0,0
2018,00131832,SK디스커버리,006120,KOSPI,기타 금융업,1,0,0
2018,00131850,SK증권,001510,KOSPI,금융 지원 서비스업,2,1,1
2018,00131939,선도전기,007610,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1,0,0
2018,00132211,SUN&L,002820,KOSPI,플라스틱제품 제조업,1,0,0
2018,00132354,쿠쿠홀딩스,192400,KOSPI,기타 금융업,2,1,1
2018,00132628,성문전자,014910,KOSPI,전자부품 제조업,1,0,0
2018,00132637,동원시스템즈,014820,KOSPI,플라스틱제품 제조업,1,0,0
2018,00132725,SB성보,003080,KOSPI,"비료, 농약 및 살균, 살충제 제조업",1,0,0
2018,00132804,성신양회,004980,KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",1,0,0
2018,00132868,우성머티리얼스,011300,KOSPI,직물직조 및 직물제품 제조업,1,0,0
2018,00133335,성창기업지주,000180,KOSPI,회사 본부 및 경영 컨설팅 서비스업,1,0,0
2018,00133511,SG세계물산,004060,KOSPI,상품 종합 도매업,1,0,0
2018,00133618,세기상사,002420,KOSPI,연료 소매업,1,0,0
2018,00133706,한국제지,027970,KOSPI,"펄프, 종이 및 판지 제조업",1,0,0
2018,00133812,세방,004360,KOSPI,도로 화물 운송업,3,2,1
2018,00133858,세방전지,004490,KOSPI,일차전지 및 이차전지 제조업,1,0,0
2018,00134176,세우글로벌,013000,KOSPI,기타 전문 도매업,1,0,0
2018,00134316,세원정공,021820,KOSPI,자동차 신품 부품 제조업,2,1,1
2018,00134477,SNT다이내믹스,003570,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00134510,SJG세종,033530,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00134565,이스타코,015020,KOSPI,부동산 임대 및 공급업,1,0,0
2018,00134723,페이퍼코리아,001020,KOSPI,"펄프, 종이 및 판지 제조업",2,1,1
2018,00134963,송원산업,004430,KOSPI,기타 화학제품 제조업,1,0,0
2018,00135050,팜젠사이언스,004720,KOSPI,의약품 제조업,1,0,0
2018,00135111,수산세보틱스,017550,KOSPI,특수 목적용 기계 제조업,1,0,0
2018,00135777,신대양제지,016590,KOSPI,"골판지, 종이 상자 및 종이용기 제조업",1,0,0
2018,00135795,신도리코,029530,KOSPI,컴퓨터 및 주변장치 제조업,1,0,0
2018,00135917,한화손해보험,000370,KOSPI,보험업,2,1,1
2018,00135962,신라교역,004970,KOSPI,어로 어업,1,0,0
2018,00136086,무림페이퍼,009200,KOSPI,"펄프, 종이 및 판지 제조업",1,0,0
2018,00136271,신성이엔지,011930,KOSPI,반도체 제조업,1,0,0
2018,00136378,신세계,004170,KOSPI,종합 소매업,1,0,0
2018,00136402,신송홀딩스,006880,KOSPI,산업용 농·축산물 및 동·식물 도매업,1,0,0
2018,00136457,SH에너지화학,002360,KOSPI,기초 화학물질 제조업,1,0,0
2018,00136624,신영와코루,005800,KOSPI,봉제의복 제조업,1,0,0
2018,00136721,신영증권,001720,KOSPI,금융 지원 서비스업,1,0,0
