theta_hat,se_hat,ci_low,ci_high,bias,covered,ci_length,max_abs_score,p99_abs_score,share_top1pct,share_top0_5pct,share_top0_1pct,estimator,clip_quantile,tau,rep,tail_type,contamination,overlap,nuisance,learner,theta_true,n,p
0.9471741466470307,0.028640499030863992,0.891039800047283,1.0033084932467784,-0.0528258533529693,1,0.1122686931994954,5.86407398750618,3.3887487051764964,0.06744853671724171,0.038517436615141815,0.009409435973580885,score_clipped_dml,0.999,10.779304356973821,3,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0277593237503455,0.034788775468301246,0.9595745767662245,1.0959440707344665,0.02775932375034551,1,0.13636949396824205,6.507153244819406,3.82898272928903,0.0725170934036116,0.040878300920172854,0.009434986017978533,standard_dml,,,4,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0034134071053222,0.03340356760335898,0.9379436176475897,1.0688831965630547,0.0034134071053222304,1,0.13093957891546504,6.39783862243196,3.6043876050607455,0.06804481347699573,0.03880646557837241,0.009504287999330186,outcome_winsorized_dml,,,4,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0280569325769986,0.034929323568927965,0.9595967163775537,1.0965171487764436,0.028056932576998594,1,0.13692043239888985,6.408313345305526,3.844881017623039,0.07253190976478786,0.0405275736572862,0.009214343076771332,covariate_winsorized_dml,,,4,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0259174179116868,0.03495819703661259,0.9574006107554712,1.0944342250679022,0.02591741791168678,1,0.137033614312431,4.358314727749066,3.8323496234194065,0.0629271651827841,0.03192210487881846,0.006384420975763692,score_clipped_dml,0.95,4.358314727749066,4,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0258386511611615,0.03487644041846895,0.9574820840320053,1.0941952182903176,0.025838651161161463,1,0.13671313425831233,5.387882706067942,3.8324936043463604,0.06955033977355571,0.03784916151924357,0.007836821646159797,score_clipped_dml,0.97,5.387882706067942,4,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0277593237503457,0.034788775468301246,0.9595745767662247,1.0959440707344668,0.027759323750345732,1,0.13636949396824205,6.507153244819405,3.828982729289029,0.07251709340361158,0.040878300920172854,0.009434986017978531,score_clipped_dml,0.99,7.5848095295835405,4,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0277593237503457,0.034788775468301246,0.9595745767662247,1.0959440707344668,0.027759323750345732,1,0.13636949396824205,6.507153244819405,3.828982729289029,0.07251709340361158,0.040878300920172854,0.009434986017978531,score_clipped_dml,0.995,9.080117926009532,4,normal,0.0,strong,linear,lasso,1.0,1000,20
1.0277593237503457,0.034788775468301246,0.9595745767662247,1.0959440707344668,0.027759323750345732,1,0.13636949396824205,6.507153244819405,3.828982729289029,0.07251709340361158,0.040878300920172854,0.009434986017978531,score_clipped_dml,0.999,13.231493291530626,4,normal,0.0,strong,linear,lasso,1.0,1000,20
0.988788070969498,0.029783225439513245,0.9304140217646149,1.047162120174381,-0.011211929030502055,1,0.11674809840976619,5.233199482690431,3.206579052595411,0.06737941677325414,0.0372536419922018,0.00849167366141229,standard_dml,,,5,normal,0.0,strong,linear,lasso,1.0,1000,20
