corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year,CorrectionDummy_filing
01428203,케이씨씨글라스,344820,Y,[기재정정]사업보고서 (2021.12),20220318000967,케이씨씨글라스,20220318,정연,2022,2022,1
01428203,케이씨씨글라스,344820,Y,[기재정정]사업보고서 (2023.12),20240328001643,케이씨씨글라스,20240328,연,2024,2024,1
00450010,씨티알모빌리티,308170,Y,[기재정정]사업보고서 (2021.12),20220412002470,씨티알모빌리티,20220412,연,2022,2022,1
00450010,씨티알모빌리티,308170,Y,[기재정정]사업보고서 (2022.12),20230710000268,씨티알모빌리티,20230710,연,2023,2023,1
01199550,HD현대에너지솔루션,322000,Y,[기재정정]사업보고서 (2019.12),20200514001143,HD현대에너지솔루션,20200514,연,2020,2020,1
01199550,HD현대에너지솔루션,322000,Y,[첨부정정]사업보고서 (2020.12),20210331002946,HD현대에너지솔루션,20210331,연,2021,2021,1
01199550,HD현대에너지솔루션,322000,Y,[기재정정]사업보고서 (2021.12),20220318001065,HD현대에너지솔루션,20220318,연,2022,2022,1
00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2020.12),20210511000265,한화시스템,20210511,연,2021,2021,1
00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2021.12),20220516000217,한화시스템,20220516,연,2022,2022,1
00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2021.12),20220316001020,한화시스템,20220316,정연,2022,2022,1
00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2022.12),20230411001656,한화시스템,20230411,연,2023,2023,1
00339391,한화시스템,272210,Y,[첨부정정]사업보고서 (2022.12),20230331002782,한화시스템,20230331,정연,2023,2023,1
00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2023.12),20240516000399,한화시스템,20240516,연,2024,2024,1
00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2023.12),20240328001714,한화시스템,20240328,정연,2024,2024,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2017.12),20180402005389,지누스,20180402,정연,2018,2018,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2017.12),20190821000526,지누스,20190821,연,2019,2019,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2018.12),20190814002813,지누스,20190814,연,2019,2019,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2016.12),20190814002502,지누스,20190814,연,2019,2019,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2015.12),20190814002263,지누스,20190814,연,2019,2019,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2023.12),20240425000282,지누스,20240425,정연,2024,2024,1
00150633,지누스,013890,Y,[기재정정]사업보고서 (2023.12),20240313001671,지누스,20240313,정연,2024,2024,1
01412822,솔루스첨단소재,336370,Y,[기재정정]사업보고서 (2021.12),20220812000796,솔루스첨단소재,20220812,연,2022,2022,1
00203315,콘텐트리중앙,036420,Y,[기재정정]사업보고서 (2018.12),20190716000323,콘텐트리중앙,20190717,연,2019,2019,1
00155276,포스코퓨처엠,003670,Y,[기재정정]사업보고서 (2017.12),20180727000096,포스코퓨처엠,20180727,연,2018,2018,1
00155276,포스코퓨처엠,003670,Y,[기재정정]사업보고서 (2020.12),20210512000747,포스코퓨처엠,20210512,연,2021,2021,1
00155276,포스코퓨처엠,003670,Y,[기재정정]사업보고서 (2022.12),20230317000751,포스코퓨처엠,20230317,연,2023,2023,1
00155276,포스코퓨처엠,003670,Y,[기재정정]사업보고서 (2023.12),20240326000383,포스코퓨처엠,20240326,연,2024,2024,1
00362441,현대오토에버,307950,Y,[기재정정]사업보고서 (2018.12),20190402000001,현대오토에버,20190402,연,2019,2019,1
00362441,현대오토에버,307950,Y,[기재정정]사업보고서 (2023.12),20240329000426,현대오토에버,20240329,연,2024,2024,1
00415646,드림텍,192650,Y,[기재정정]사업보고서 (2021.12),20220812000858,드림텍,20220812,연,2022,2022,1
01010110,더블유게임즈,192080,Y,[기재정정]사업보고서 (2017.12),20180605000381,더블유게임즈,20180605,연,2018,2018,1
00651901,에어부산,298690,Y,[기재정정]사업보고서 (2018.12),20190402000257,에어부산,20190402,정,2019,2019,1
00651901,에어부산,298690,Y,[기재정정]사업보고서 (2022.12),20230831001169,에어부산,20230831,,2023,2023,1
00651901,에어부산,298690,Y,[기재정정]사업보고서 (2019.12),20240731000599,에어부산,20240731,,2024,2024,1
00651901,에어부산,298690,Y,[기재정정]사업보고서 (2018.12),20240731000521,에어부산,20240731,,2024,2024,1
00458234,아시아나IDT,267850,Y,[기재정정]사업보고서 (2018.12),20190516000059,아시아나IDT,20190516,연,2019,2019,1
00458234,아시아나IDT,267850,Y,[기재정정]사업보고서 (2018.12),20190402000723,아시아나IDT,20190402,정연,2019,2019,1
00458234,아시아나IDT,267850,Y,[기재정정]사업보고서 (2022.12),20230719000433,아시아나IDT,20230719,,2023,2023,1
00248974,하나제약,293480,Y,[기재정정]사업보고서 (2021.12),20220331002435,하나제약,20220331,,2022,2022,1
00248974,하나제약,293480,Y,[기재정정]사업보고서 (2022.12),20230712000281,하나제약,20230712,,2023,2023,1
00143262,우진아이엔에스,010400,Y,[기재정정]사업보고서 (2021.12),20220812000678,우진아이엔에스,20220812,연,2022,2022,1
01319808,한일시멘트,300720,Y,[기재정정]사업보고서 (2019.12),20200401002489,한일시멘트,20200401,,2020,2020,1
00671376,트리니티항공,091810,Y,[기재정정]사업보고서 (2020.12),20210601000044,트리니티항공,20210601,연,2021,2021,1
01262032,롯데이노베이트,286940,Y,[기재정정]사업보고서 (2021.12),20220314001163,롯데이노베이트,20220314,연,2022,2022,1
01316254,HS효성첨단소재,298050,Y,[기재정정]사업보고서 (2019.12),20200330004579,HS효성첨단소재,20200330,연,2020,2020,1
01316245,효성중공업,298040,Y,[기재정정]사업보고서 (2018.12),20190618000136,효성중공업,20190618,연,2019,2019,1
01316245,효성중공업,298040,Y,[기재정정]사업보고서 (2021.12),20220727000309,효성중공업,20220727,연,2022,2022,1
01316245,효성중공업,298040,Y,[기재정정]사업보고서 (2022.12),20230309000420,효성중공업,20230309,연,2023,2023,1
01316245,효성중공업,298040,Y,[기재정정]사업보고서 (2023.12),20240315000877,효성중공업,20240315,연,2024,2024,1
01310269,IPARK현대산업개발,294870,Y,[기재정정]사업보고서 (2018.12),20190814000224,IPARK현대산업개발,20190814,정연,2019,2019,1
01310269,IPARK현대산업개발,294870,Y,[기재정정]사업보고서 (2019.12),20200630000680,IPARK현대산업개발,20200630,연,2020,2020,1
01310269,IPARK현대산업개발,294870,Y,[기재정정]사업보고서 (2018.12),20200630000654,IPARK현대산업개발,20200630,연,2020,2020,1
01310269,IPARK현대산업개발,294870,Y,[기재정정]사업보고서 (2022.12),20230713000082,IPARK현대산업개발,20230713,연,2023,2023,1
01310269,IPARK현대산업개발,294870,Y,[기재정정]사업보고서 (2023.12),20240401002733,IPARK현대산업개발,20240401,연,2024,2024,1
00139454,애경산업,018250,Y,[기재정정]사업보고서 (2018.12),20190702000212,애경산업,20190702,연,2019,2019,1
00413046,셀트리온,068270,Y,[기재정정]사업보고서 (2017.12),20180720000460,셀트리온,20180720,정연,2018,2018,1
