corp_code,corp_name,year,rcept_no,rcept_dt,report_nm,MaterialCorrection,MaterialKeywordHits,MaterialKeywords
00155212,포스코DX,2024,20240618000197,20240618,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
00155212,포스코DX,2024,20240313001522,20240313,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
01311408,에코프로머티,2024,20240417000528,20240417,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
01770203,조선내화,2024,20240315000658,20240315,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
00447609,비에이치,2018,20180511003145,20180511,[기재정정]사업보고서 (2017.12),0,0,
00447609,비에이치,2018,20180511002642,20180511,[기재정정]사업보고서 (2017.12),0,0,
00447609,비에이치,2019,20190620000077,20190620,[기재정정]사업보고서 (2018.12),0,0,
00447609,비에이치,2021,20210331002350,20210331,[기재정정]사업보고서 (2020.12),0,0,
00447609,비에이치,2021,20210322000225,20210322,[기재정정]사업보고서 (2020.12),0,0,
01762569,이수스페셜티케미컬,2024,20240411004116,20240411,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
