estimator,theta,se,ci_low,ci_high,J_hat,score_sd,top1_share,top05_share,ess,tau,q,bias_proxy,notes,true_theta,bias,rmse_component,covered,tail,contamination,weak_overlap,nonlinear,rep
covariate_winsorized_dml,0.5646234164988571,0.07253577054714082,0.42245591863559984,0.7067909143621143,-0.1844804618440293,0.5182606503015067,0.06791147010094825,0.03662895083602114,644.1361111893884,,,,Standard orthogonal-score DML.,0.5,0.06462341649885706,0.00417618595998475,1,normal,0.0,True,True,7
score_clipped_dml_q0.95,0.5724631199846235,0.0726198043565997,0.4301309188813432,0.7147953210879039,-0.1592981998524934,0.4480346185444349,0.036023645930931825,0.01681103476776819,762.4485556664363,1.1503078087187457,0.95,0.02280891725130183,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.07246311998462351,0.005250903757905944,1,normal,0.0,True,True,7
score_clipped_dml_q0.97,0.571544873776918,0.07233520489013534,0.4297704773779271,0.7133192701759088,-0.16721330340852583,0.4684531592779659,0.040855483867313525,0.01906589247141298,730.8864682697903,1.3355220064919784,0.97,0.015240341972786254,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.07154487377691798,0.005118668963755127,1,normal,0.0,True,True,7
score_clipped_dml_q0.99,0.5722271802836323,0.07161007108516934,0.4318740200263473,0.7125803405409172,-0.17913864165622093,0.4968313719576597,0.05322395005269279,0.0248378433579233,685.894554765185,1.787534155731137,0.99,0.006277242661640108,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.07222718028363229,0.005216765571724321,1,normal,0.0,True,True,7
score_clipped_dml_q0.995,0.5716507531942447,0.07233281257640536,0.4298810456440043,0.7134204607444852,-0.18164387652301883,0.508864019092309,0.061825715422161386,0.02996201813943522,665.8827128584297,2.1760779728136233,0.995,0.00319782028627809,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.07165075319424474,0.005133830433302573,1,normal,0.0,True,True,7
score_clipped_dml_q0.999,0.5704016305407286,0.07293679714943738,0.4274481349801276,0.7133551261013296,-0.18430030495686367,0.520617031714638,0.06845357713930164,0.03678341601186763,645.2366138656677,3.0330683326060828,0.999,0.0007857097467674343,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.07040163054072857,0.004956389582793245,1,normal,0.0,True,True,7
standard_dml,0.6097170830393568,0.07199565813407156,0.46860818605331833,0.7508259800253952,-0.1814137759150242,0.5058505171877004,0.07012822691375849,0.038508937667614485,658.7882918277687,,,,Standard orthogonal-score DML.,0.5,0.10971708303935679,0.012037838310665114,1,normal,0.0,True,True,8
outcome_winsorized_dml,0.6034634461402699,0.07120581698319732,0.4639026093634526,0.7430242829170872,-0.1814137759150242,0.5003009942717235,0.06916401517248524,0.03734602041294624,664.5772616634026,,,,Standard orthogonal-score DML.,0.5,0.10346344614026992,0.010704684687220535,1,normal,0.0,True,True,8
covariate_winsorized_dml,0.5942100108169388,0.07121755996399826,0.45462615822068053,0.7337938634131971,-0.18060290815090135,0.49814693058922044,0.06756038640771553,0.03664162142768503,665.9869379210377,,,,Standard orthogonal-score DML.,0.5,0.0942100108169388,0.008875526138127726,1,normal,0.0,True,True,8
score_clipped_dml_q0.95,0.6145968069238577,0.07082095426575338,0.4757902872122227,0.7534033266354926,-0.1559130197338139,0.42765129047675726,0.03359471440839013,0.01567753339058206,795.8633426613608,1.0461393749788412,0.95,0.023742993456607263,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.11459680692385765,0.013132428157143909,1,normal,0.0,True,True,8
