rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm,stlm_dt,query_year,endpoint_label
20220405002309,Y,00139834,LG씨엔에스,보통주식,김혜정,특수관계인,202,0.00,202,0.00,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,보통주식,계,,"45,629,793",52.33,"45,630,701",52.33,-,2021-12-31,2021,largest_shareholder
20220405002309,Y,00139834,LG씨엔에스,기타주식,계,,-,-,-,-,-,2021-12-31,2021,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,보통주식,(주)엘지,최대주주,"43,557,218",49.95,"43,557,218",49.95,-,2022-12-31,2022,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,보통주식,구광모,특수관계인,"972,600",1.12,"972,600",1.12,-,2022-12-31,2022,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,보통주식,구본능,특수관계인,"729,400",0.84,"729,400",0.84,-,2022-12-31,2022,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,보통주식,구본준,특수관계인,"243,200",0.28,"243,200",0.28,-,2022-12-31,2022,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,보통주식,구본식,특수관계인,"121,500",0.14,"121,500",0.14,-,2022-12-31,2022,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,보통주식,계,,"45,623,918",52.32,"45,623,918",52.32,-,2022-12-31,2022,largest_shareholder
20230331004072,Y,00139834,LG씨엔에스,기타주식,계,,-,-,-,-,-,2022-12-31,2022,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,보통주식,(주)엘지,최대주주,"43,557,218",49.95,"43,557,218",49.95,-,2023-12-31,2023,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,보통주식,구광모,특수관계인,"972,600",1.12,"972,600",1.12,-,2023-12-31,2023,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,보통주식,구본능,특수관계인,"729,400",0.84,"729,400",0.84,-,2023-12-31,2023,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,보통주식,구본준,특수관계인,"243,200",0.28,"243,200",0.28,-,2023-12-31,2023,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,보통주식,구본식,특수관계인,"121,500",0.14,"121,500",0.14,-,2023-12-31,2023,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,보통주식,계,,"45,623,918",52.32,"45,623,918",52.32,-,2023-12-31,2023,largest_shareholder
20240401003467,Y,00139834,LG씨엔에스,기타주식,계,,-,-,-,-,-,2023-12-31,2023,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,보통주식,(주)엘지,최대주주,"43,557,218",49.95,"43,557,218",49.95,-,2024-12-31,2024,largest_shareholder
20250311001270,Y,00139834,LG씨엔에스,보통주식,구광모,특수관계인,"972,600",1.12,"972,600",1.12,-,2024-12-31,2024,largest_shareholder
