rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,adt_opinion,adt_reprt_spcmnt_matter,stlm_dt,query_year,endpoint_label,emphs_matter,core_adt_matter
20250320000574,Y,00968607,더본코리아,"제31기
(당기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,가맹점 재화공급 매출의 발생사실
20250320000574,Y,00968607,더본코리아,"제31기
(당기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,가맹점 재화공급 매출의 발생사실
20250320000574,Y,00968607,더본코리아,"제30기
(전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,
20250320000574,Y,00968607,더본코리아,"제30기
(전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,
20250320000574,Y,00968607,더본코리아,"제29기
(전전기)",참회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,
20250320000574,Y,00968607,더본코리아,"제29기
(전전기)",참회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,
20250317000812,Y,01867758,한화비전,제1기(당기),삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,감사의견에 영향을 미치지 않는 사항으로서 이용자는 주석 20에 주의를 기울여야 할 필요가 있습니다. 주석20에 기술하고 있는 바와 같이 회사는 한화에어로스페이스 주식회사로 부터 2024년 9월 1일자로 인적분할되어 설립되었습니다. 분할기일인 2024년 9월 1일 이후 거래는 분할된 회사의 재무제표에 반영되었습니다.,종속기업투자 손상 평가
20250317000812,Y,01867758,한화비전,제1기(당기),삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,감사의견에 영향을 미치지 않는 사항으로서 이용자는 주석 37에 주의를 기울여야 할필요가 있습니다. 주석37에 기술하고 있는 바와 같이 연결회사는 한화에어로스페이스 주식회사로 부터 2024년 9월 1일자로 인적분할되어 설립되었습니다. 분할기일인 2024년 9월 1일 이후 거래는 분할된 연결회사의 연결재무제표에 반영되었습니다.,산업용장비부문 현금창출단위 손상 평가
20250317000812,Y,01867758,한화비전,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000812,Y,01867758,한화비전,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000812,Y,01867758,한화비전,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000812,Y,01867758,한화비전,-,-,,-,2024-12-31,2024,auditor_opinion,,
20250317000567,Y,00372129,전진건설로봇,"제26기
(당기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,- 재화매출의 발생사실
20250317000567,Y,00372129,전진건설로봇,"제26기
(당기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,- 재화매출의 발생사실
20250317000567,Y,00372129,전진건설로봇,"제25기
(전기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,"- 현금흐름표 표시
-해외매출 수익인식
-이연법인세"
20250317000567,Y,00372129,전진건설로봇,"제25기
(전기)",삼일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,"- 현금흐름표 표시
- 해외매출 수익인식
-이연법인세"
20250317000567,Y,00372129,전진건설로봇,"제24기
(전전기)",삼정회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,"- 해외매출 수익인식
- 대손충당금의 인식"
