corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year,CorrectionDummy_filing
00480367,SK오션플랜트,100090,Y,사업보고서 (2021.12),20220323001382,SK오션플랜트,20220323,연,2022,2022,0
00480367,SK오션플랜트,100090,Y,[기재정정]사업보고서 (2022.12),20230831000707,SK오션플랜트,20230831,연,2023,2023,1
00480367,SK오션플랜트,100090,Y,사업보고서 (2022.12),20230321000779,SK오션플랜트,20230321,정연,2023,2023,0
00480367,SK오션플랜트,100090,Y,사업보고서 (2023.12),20240320000346,SK오션플랜트,20240320,연,2024,2024,0
01721809,현대그린푸드,453340,Y,사업보고서 (2023.12),20240318000716,현대그린푸드,20240318,연,2024,2024,0
01722437,한화갤러리아,452260,Y,사업보고서 (2023.12),20240318000820,한화갤러리아,20240318,연,2024,2024,0
00622787,바이오노트,377740,Y,[첨부추가]사업보고서 (2020.12),20210331003006,바이오노트,20210331,연,2021,2021,0
00622787,바이오노트,377740,Y,사업보고서 (2021.12),20220331002923,바이오노트,20220331,연,2022,2022,0
00622787,바이오노트,377740,Y,사업보고서 (2022.12),20230321001282,바이오노트,20230321,연,2023,2023,0
00622787,바이오노트,377740,Y,[기재정정]사업보고서 (2023.12),20240322000144,바이오노트,20240322,연,2024,2024,1
00622787,바이오노트,377740,Y,[기재정정]사업보고서 (2023.12),20240320002051,바이오노트,20240320,정연,2024,2024,1
00622787,바이오노트,377740,Y,사업보고서 (2023.12),20240320001691,바이오노트,20240320,정연,2024,2024,0
01702017,유니드비티플러스,446070,Y,사업보고서 (2022.12),20230322000303,유니드비티플러스,20230322,,2023,2023,0
01702017,유니드비티플러스,446070,Y,사업보고서 (2023.12),20240320000313,유니드비티플러스,20240320,,2024,2024,0
00525934,LX세미콘,108320,Y,사업보고서 (2017.12),20180402003898,LX세미콘,20180402,연,2018,2018,0
00525934,LX세미콘,108320,Y,사업보고서 (2018.12),20190401002209,LX세미콘,20190401,연,2019,2019,0
00525934,LX세미콘,108320,Y,사업보고서 (2019.12),20200330002510,LX세미콘,20200330,연,2020,2020,0
00525934,LX세미콘,108320,Y,사업보고서 (2020.12),20210310001052,LX세미콘,20210310,연,2021,2021,0
00525934,LX세미콘,108320,Y,사업보고서 (2021.12),20220314000950,LX세미콘,20220314,연,2022,2022,0
