corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20200924000286,에이피알,20200924,,2020,2020
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2018.09),20200924000284,에이피알,20200924,,2020,2020
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2018.06),20200924000282,에이피알,20200924,,2020,2020
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2018.03),20200924000279,에이피알,20200924,,2020,2020
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20200924000275,에이피알,20200924,,2020,2020
01190568,에이피알,278470,Y,반기보고서 (2020.06),20200814001744,에이피알,20200814,정,2020,2020
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2019.12),20200814001681,에이피알,20200814,정연,2020,2020
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20200814001663,에이피알,20200814,정,2020,2020
01190568,에이피알,278470,Y,분기보고서 (2020.03),20200515001006,에이피알,20200515,정,2020,2020
01190568,에이피알,278470,Y,사업보고서 (2019.12),20200513000126,에이피알,20200513,정연,2020,2020
01190568,에이피알,278470,Y,[기재정정]분기보고서 (2021.09),20211117000105,에이피알,20211117,,2021,2021
01190568,에이피알,278470,Y,분기보고서 (2021.09),20211112000347,에이피알,20211112,정,2021,2021
01190568,에이피알,278470,Y,반기보고서 (2021.06),20210817000445,에이피알,20210817,,2021,2021
01190568,에이피알,278470,Y,분기보고서 (2021.03),20210517000110,에이피알,20210517,,2021,2021
01190568,에이피알,278470,Y,사업보고서 (2020.12),20210331000895,에이피알,20210331,연,2021,2021
01190568,에이피알,278470,Y,분기보고서 (2022.09),20221114000470,에이피알,20221114,,2022,2022
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2022.06),20220817000173,에이피알,20220817,,2022,2022
01190568,에이피알,278470,Y,반기보고서 (2022.06),20220816001642,에이피알,20220816,정,2022,2022
