stock_code,corp_code,corp_name,year,market,sector,CorrectionDummy,CorrectionCount,MaterialCorrectionDummy,MaterialCorrectionCount,AuditorName,Big4Auditor,CleanOpinion,AuditFee,NonAuditFee,NonAuditFeeRatio,BoardSize,OutsideDirectorCount,OutsideDirectorRatio,LargestShareholderOwnership,MinorityShareholderRatio,MinorityShareholderCount,Assets,Liabilities,Equity,Revenue,OperatingIncome,NetIncome,LogAssets,Leverage,ROA,Loss,listing_date,FirstCorrectionDate,LastCorrectionDate,MaterialKeywordHits,AuditOpinion,AuditHours,NonAuditContractCount,OutsideDirectorAppointed,OutsideDirectorDismissed,OutsideDirectorResigned,Size,LogAuditFee,CorrectionCount_Log
439260,00182696,대한조선,2020,KOSPI,선박 및 보트 건조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-08-01,,,0,,,,,,,,,0.0
439260,00182696,대한조선,2021,KOSPI,선박 및 보트 건조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-08-01,,,0,,,,,,,,,0.0
439260,00182696,대한조선,2022,KOSPI,선박 및 보트 건조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-08-01,,,0,,,,,,,,,0.0
439260,00182696,대한조선,2023,KOSPI,선박 및 보트 건조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-08-01,,,0,,,,,,,,,0.0
439260,00182696,대한조선,2024,KOSPI,선박 및 보트 건조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-08-01,,,0,,,,,,,,,0.0
483650,01649204,달바글로벌,2018,KOSPI,기타 화학제품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-05-22,,,0,,,,,,,,,0.0
483650,01649204,달바글로벌,2019,KOSPI,기타 화학제품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-05-22,,,0,,,,,,,,,0.0
483650,01649204,달바글로벌,2020,KOSPI,기타 화학제품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-05-22,,,0,,,,,,,,,0.0
483650,01649204,달바글로벌,2021,KOSPI,기타 화학제품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-05-22,,,0,,,,,,,,,0.0
483650,01649204,달바글로벌,2022,KOSPI,기타 화학제품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-05-22,,,0,,,,,,,,,0.0
483650,01649204,달바글로벌,2023,KOSPI,기타 화학제품 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-05-22,,,0,,,,,,,,,0.0
483650,01649204,달바글로벌,2024,KOSPI,기타 화학제품 제조업,0,0,0,0,삼일회계법인,1.0,1.0,,0.0,,5.0,2.0,0.4,18.5,79.2,76.0,136108165193.0,34039092723.0,102069072470.0,309062616157.0,59844712688.0,,25.636715738874795,0.2500885429961745,,0.0,2025-05-22,,,0,적정의견,,6.0,2.0,,,25.636715738874795,,0.0
480370,01210677,씨케이솔루션,2018,KOSPI,일반 목적용 기계 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-03-17,,,0,,,,,,,,,0.0
480370,01210677,씨케이솔루션,2019,KOSPI,일반 목적용 기계 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-03-17,,,0,,,,,,,,,0.0
480370,01210677,씨케이솔루션,2020,KOSPI,일반 목적용 기계 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-03-17,,,0,,,,,,,,,0.0
480370,01210677,씨케이솔루션,2021,KOSPI,일반 목적용 기계 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-03-17,,,0,,,,,,,,,0.0
480370,01210677,씨케이솔루션,2022,KOSPI,일반 목적용 기계 제조업,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2025-03-17,,,0,,,,,,,,,0.0
