rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,cn,mendng,tot_reqre_time,adt_cntrct_dtls_mendng,adt_cntrct_dtls_time,real_exc_dtls_mendng,real_exc_dtls_time,stlm_dt,query_year,endpoint_label
20250319000952,Y,01384787,시프트업,제10기(전전기),한성회계법인,- 기말 재무제표 감사,-,-,20,250,20,424,2024-12-31,2024,audit_contract
20190329004010,Y,00171265,파라다이스,제48기 (당기),삼일회계법인,"분기ㆍ반기재무제표 검토, 
개별ㆍ연결재무제표 감사","270,000 ","2,979시간",-,-,-,-,2018-12-31,2018,audit_contract
20190329004010,Y,00171265,파라다이스,제47기 (전기),삼일회계법인,"분기ㆍ반기재무제표 검토, 
개별ㆍ연결재무제표 감사","240,000","3,159시간",-,-,-,-,2018-12-31,2018,audit_contract
20190329004010,Y,00171265,파라다이스,제46기 (전전기),삼일회계법인,"분기ㆍ반기재무제표 검토, 
개별ㆍ연결재무제표 감사","240,000 ","2,724시간",-,-,-,-,2018-12-31,2018,audit_contract
20200330001372,Y,00171265,파라다이스,제49기(당기),삼일회계법인,"분기ㆍ반기재무제표 검토, 
개별ㆍ연결재무제표 감사","290,000","3,499시간",-,-,-,-,2019-12-31,2019,audit_contract
20200330001372,Y,00171265,파라다이스,제48기(전기),삼일회계법인,"분기ㆍ반기재무제표 검토, 
개별ㆍ연결재무제표 감사","270,000","2,979시간",-,-,-,-,2019-12-31,2019,audit_contract
20200330001372,Y,00171265,파라다이스,제47기(전전기),삼일회계법인,"분기ㆍ반기재무제표 검토, 
개별ㆍ연결재무제표 감사","240,000","3,159시간",-,-,-,-,2019-12-31,2019,audit_contract
20210419000082,Y,00171265,파라다이스,제50기(당기),삼일회계법인,"분기ㆍ반기재무제표 검토, 
개별ㆍ연결재무제표 감사",-,-,"540,000","5,400시간","540,000","5,420시간",2020-12-31,2020,audit_contract
20210419000082,Y,00171265,파라다이스,제49기(전기),삼일회계법인,"분기ㆍ반기재무제표 검토, 
개별ㆍ연결재무제표 감사",-,-,"290,000","3,499시간","320,000","3,499시간",2020-12-31,2020,audit_contract
20210419000082,Y,00171265,파라다이스,제48기(전전기),삼일회계법인,"분기ㆍ반기재무제표 검토, 
개별ㆍ연결재무제표 감사",-,-,"270,000","2,979시간","270,000","2,979시간",2020-12-31,2020,audit_contract
20220317001345,Y,00171265,파라다이스,제51기(당기),삼일회계법인,"분기ㆍ반기재무제표 검토, 
개별ㆍ연결재무제표 감사",-,-,"500,000","5,400시간","500,000","4,665시간",2021-12-31,2021,audit_contract
20220317001345,Y,00171265,파라다이스,제50기(전기),삼일회계법인,"분기ㆍ반기재무제표 검토, 
개별ㆍ연결재무제표 감사",-,-,"540,000","5,400시간","540,000","5,420시간",2021-12-31,2021,audit_contract
